* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se70.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-04-19,23:00:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
193.5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1013.4,1.169,25.2,,,,0,69,87
1009.8,1.851,24,,,,318,100,58
1006.9,1.851,23.2,,,,327,125,60
1003.9,1.851,22.6,,,,336,151,63
1000.9,1.851,22.1,,,,344,176,65
998.1,1.851,22,,,,352,201,67
994.2,1.851,21.6,,,,361,234,69
990.8,1.851,21.4,,,,369,264,70
987.7,1.949,21.1,,,,377,291,71
983.2,1.949,20.8,,,,387,330,73
979,1.851,20.5,,,,396,367,73
974.9,1.851,20.1,,,,405,403,75
970.5,1.851,20,,,,414,442,76
966.6,1.851,19.6,,,,422,477,77
963.5,1.851,19.1,,,,430,504,79
958.5,1.851,18.8,,,,440,549,81
955.2,1.851,18.4,,,,448,578,83
951.2,1.851,18,,,,456,614,84
947.9,1.851,17.8,,,,464,643,84
945.2,1.851,17.5,,,,476,668,84
939.5,1.851,17.4,,,,484,719,85
936.1,1.851,17,,,,493,750,84
933,1.851,17,,,,501,778,78
930.8,1.949,17.4,,,,510,798,65
927.5,1.949,17.5,,,,520,828,62
924.9,1.851,17.4,,,,529,852,62
922,1.949,17.2,,,,538,879,62
919.4,1.949,17,,,,546,903,64
916.9,1.949,16.9,,,,554,926,66
914.1,1.949,16.6,,,,563,952,67
910.9,1.949,16.4,,,,571,982,67
909,1.949,16.2,,,,579,1000,68
906,1.949,16,,,,588,1028,68
902,1.949,16,,,,598,1065,68
899.2,1.949,15.8,,,,607,1091,68
896,1.949,15.5,,,,616,1121,68
892.8,1.949,15.2,,,,625,1152,69
889.6,1.949,15,,,,633,1182,69
887.1,1.949,14.9,,,,641,1206,70
883.7,1.949,14.8,,,,650,1238,70
880.5,1.949,14.8,,,,658,1269,68
877.5,1.949,14.8,,,,667,1297,65
875,1.949,14.5,,,,675,1321,64
871.9,1.949,14.4,,,,684,1351,64
868.2,1.949,14.1,,,,694,1387,63
864.9,1.949,14,,,,703,1419,64
862,1.949,13.6,,,,712,1447,65
859.1,1.851,13.5,,,,721,1476,65
855.9,1.949,13.2,,,,730,1507,66
853.1,1.949,13,,,,738,1534,66
850,1.949,12.8,,,,747,1565,66
847.4,1.949,12.8,,,,755,1590,54
844.6,1.949,13.2,,,,764,1618,42
841.4,2.046,13.2,,,,774,1650,39
838.6,2.143,13.2,,,,783,1678,42
835.8,2.046,13,,,,792,1706,43
832.5,2.046,12.8,,,,802,1739,48
829.7,2.046,12.5,,,,811,1767,52
827.1,2.046,12.6,,,,820,1794,44
824.2,2.143,13,,,,828,1823,29
822,2.241,13,,,,836,1845,28
818.9,2.241,13.5,,,,845,1877,26
816.2,2.241,13.6,,,,854,1905,25
813.2,2.241,13.9,,,,863,1936,23
810.6,2.241,13.9,,,,871,1963,23
808.3,2.338,13.8,,,,879,1986,23
805.5,2.241,13.5,,,,888,2016,21
802,2.241,13.4,,,,898,2052,21
799.4,2.241,13.1,,,,906,2079,20
796.4,2.338,13,,,,914,2111,20
793.9,2.241,12.9,,,,922,2137,23
790.8,2.241,12.5,,,,931,2170,25
787.9,2.143,12.4,,,,940,2201,25
784.6,2.143,12.1,,,,948,2236,26
781.9,2.143,12,,,,956,2264,28
778.5,2.143,11.9,,,,966,2301,25
775.9,2.046,11.9,,,,974,2329,23
773.5,2.046,11.8,,,,982,2355,25
770.2,1.949,11.6,,,,990,2390,26
767.1,1.949,11.5,,,,999,2424,27
763.5,1.949,11.4,,,,1008,2463,28
760.5,1.949,11.1,,,,1018,2496,28
757.4,1.949,11,,,,1027,2530,27
754.5,1.949,10.9,,,,1036,2562,28
751,1.949,10.6,,,,1045,2600,25
748.4,1.949,10.5,,,,1054,2629,24
745.6,2.046,10.4,,,,1062,2660,23
743.3,2.046,10.2,,,,1070,2686,19
740.6,2.046,10.2,,,,1079,2716,16
737.2,2.143,10.1,,,,1089,2754,17
734.5,2.046,10,,,,1098,2785,31
731.8,2.046,9.9,,,,1107,2815,32
728.9,1.949,9.8,,,,1117,2848,32
726.6,2.046,9.8,,,,1125,2874,31
724,2.046,9.5,,,,1134,2904,29
721.4,2.046,9.5,,,,1142,2934,28
719.1,2.046,9.5,,,,1150,2960,23
716.5,2.241,9.5,,,,1159,2990,19
713.9,2.338,9.5,,,,1168,3020,16
711.2,2.338,9.5,,,,1177,3052,16
708.3,2.338,9.4,,,,1187,3085,17
705.7,2.338,9,,,,1196,3116,17
703,2.436,8.8,,,,1205,3147,17
700,2.436,8.6,,,,1214,3183,17
699.8,2.436,8.5,,,,1215,3185,17
692.9,2.436,8,,,,1230,3267,25
691.7,2.241,8,,,,1248,3281,27
685.9,2.241,7.9,,,,1258,3350,25
685,2.338,7.8,,,,1268,3361,23
681.3,2.241,7.5,,,,1276,3406,22
678.1,2.046,7.4,,,,1286,3444,47
676.3,1.851,7,,,,1298,3466,49
675.8,1.656,7,,,,1306,3472,49
669.1,1.461,6.8,,,,1314,3554,50
666.9,1.461,6.6,,,,1322,3581,50
664.7,1.461,6.5,,,,1331,3608,50
661.1,1.364,6,,,,1341,3652,50
659.3,1.364,5.9,,,,1349,3675,52
656.6,1.364,5.5,,,,1358,3708,51
653.4,1.267,5.4,,,,1368,3748,51
650.6,1.267,5.1,,,,1377,3783,51
648.1,1.267,4.9,,,,1386,3814,53
645.3,1.267,4.6,,,,1395,3849,53
642.6,1.267,4.4,,,,1404,3884,53
639.9,1.267,4,,,,1412,3918,54
637.3,1.267,3.8,,,,1421,3951,56
635.1,1.267,3.6,,,,1429,3979,55
632.9,1.267,3.5,,,,1438,4007,54
630.7,1.267,3.2,,,,1450,4035,55
617.4,1.267,2.4,,,,1482,4207,55
616.5,1.267,2.2,,,,1497,4219,55
608.9,1.267,1.8,,,,1510,4319,56
607.9,1.169,1.6,,,,1519,4332,56
606.7,1.267,1.5,,,,1527,4348,56
604.1,1.169,1.5,,,,1542,4383,56
602.8,1.169,1.4,,,,1555,4400,56
596.1,1.169,0.8,,,,1564,4490,56
552.9,1.072,-1.8,,,,1714,5090,44
552,1.072,-1.8,,,,1726,5103,43
548.9,2.143,-1.9,,,,1735,5148,44
546.1,1.072,-2,,,,1746,5188,43
543.7,1.072,-2.2,,,,1754,5223,42
541.7,1.072,-2.5,,,,1768,5252,42
540.4,1.072,-2.6,,,,1778,5271,42
535.3,1.072,-3.1,,,,1786,5346,40
531.7,1.072,-3.2,,,,1798,5400,39
530.6,1.072,-3.4,,,,1807,5416,39
522.1,1.072,-4.5,,,,1827,5543,39
520.9,1.072,-4.8,,,,1836,5562,39
520.7,1.072,-4.9,,,,1848,5565,39
519.8,1.072,-5,,,,1857,5578,39
518.6,1.072,-5.2,,,,1866,5596,40
500,1.025,-7.4,,,,1928,5882,39.5
479.5,0.974,-9.9,,,,1996,6206,39
477.3,0.974,-10.1,,,,2005,6241,39
475,0.974,-10.5,,,,2014,6278,38
472.5,0.974,-10.8,,,,2023,6319,38
470.3,0.974,-11,,,,2032,6355,37
468.1,0.974,-11.2,,,,2041,6391,37
465.9,0.974,-11.6,,,,2050,6427,37
463.7,0.974,-12,,,,2059,6463,36
461,0.974,-12.1,,,,2069,6508,31
458.9,1.072,-12.4,,,,2078,6542,27
457,1.072,-12.4,,,,2086,6574,21
454.9,1.072,-12.4,,,,2094,6609,17
453.1,1.169,-12.2,,,,2102,6640,13
450.9,1.169,-12.5,,,,2111,6677,12
448.7,1.169,-12.6,,,,2120,6714,12
446.5,1.169,-12.8,,,,2129,6751,11
444,1.267,-12.9,,,,2139,6794,8
442.3,1.364,-13,,,,2147,6823,7
440.2,1.461,-13,,,,2156,6860,6
438.3,1.559,-13.1,,,,2165,6893,6
437.5,1.559,-13.2,,,,2174,6907,6
433.7,1.656,-13.8,,,,2184,6973,7
431.6,1.754,-14,,,,2192,7010,7
429.8,1.754,-14.2,,,,2201,7041,8
427.7,1.754,-14.6,,,,2210,7078,9
425.6,1.656,-14.9,,,,2218,7116,9
423.5,1.656,-15,,,,2228,7153,9
422.8,1.656,-15.1,,,,2236,7166,9
419.5,1.754,-15.4,,,,2244,7225,7
417.4,1.754,-15.5,,,,2253,7263,7
415.4,1.754,-15.8,,,,2262,7299,7
412.5,1.754,-16.2,,,,2275,7352,8
410.4,1.754,-16.5,,,,2283,7390,7
408.2,1.656,-16.6,,,,2292,7430,7
405.7,1.656,-16.9,,,,2302,7476,5
404.9,1.656,-17,,,,2311,7491,5
401.8,1.656,-17.2,,,,2319,7549,5
399.6,1.754,-17.6,,,,2328,7590,5
397.4,1.656,-17.9,,,,2337,7631,5
395,1.754,-18.2,,,,2347,7676,5
393.1,1.851,-18.6,,,,2355,7712,5
391.2,1.656,-18.8,,,,2364,7748,5
388.9,1.559,-19.1,,,,2373,7792,6
386.5,1.559,-19.4,,,,2382,7838,6
384.8,1.461,-19.8,,,,2391,7871,7
382.8,1.364,-20.1,,,,2400,7910,8
380.7,1.267,-20.4,,,,2409,7950,8
378.6,1.169,-20.8,,,,2418,7991,9
376.6,1.169,-20.9,,,,2427,8030,9
374.5,1.072,-21.4,,,,2436,8072,9
372.4,1.072,-21.6,,,,2445,8113,9
370.4,1.072,-21.9,,,,2454,8153,9
368.2,1.072,-22.2,,,,2463,8197,10
366.1,0.974,-22.6,,,,2472,8239,10
364.1,1.072,-22.9,,,,2481,8279,10
362,1.072,-23.2,,,,2490,8321,10
360,0.974,-23.6,,,,2499,8362,10
358,0.974,-24.1,,,,2508,8402,10
355.7,0.974,-24.4,,,,2517,8449,11
353.6,0.974,-24.6,,,,2526,8492,11
351.7,0.974,-24.9,,,,2535,8531,11
349.5,0.974,-25.1,,,,2545,8577,9
347.9,0.974,-25.4,,,,2553,8610,9
346.5,0.877,-25.8,,,,2562,8640,8
343.4,0.877,-26.1,,,,2571,8705,7
342.1,0.974,-26.4,,,,2580,8732,6
341.8,0.974,-26.6,,,,2589,8738,6
338.3,0.974,-26.9,,,,2598,8813,3
336.3,0.974,-27.1,,,,2607,8855,3
334.1,0.877,-27.4,,,,2616,8902,4
332.6,0.877,-27.8,,,,2624,8935,4
331,0.877,-28.1,,,,2632,8969,5
329.5,0.877,-28.4,,,,2640,9002,8
327.5,0.877,-28.8,,,,2648,9046,9
326,0.877,-29.1,,,,2661,9078,9
322.8,0.877,-29.8,,,,2670,9149,10
321.2,0.877,-29.9,,,,2678,9184,10
319.3,0.877,-30.1,,,,2687,9226,10
317.4,0.877,-30.6,,,,2696,9269,10
315.5,0.877,-30.9,,,,2705,9311,10
313.4,0.877,-31.1,,,,2714,9359,11
311.5,0.877,-31.4,,,,2723,9402,11
309.5,0.877,-31.9,,,,2732,9447,11
307.5,0.877,-32.2,,,,2741,9493,11
305.1,0.877,-32.6,,,,2752,9548,11
303.3,0.877,-32.9,,,,2760,9590,11
301.5,0.779,-33.2,,,,2768,9632,11
300,0.871,-33.7,,,,2776,9667,11
299.9,0.877,-33.8,,,,2781,9669,11
298.1,0.877,-34.1,,,,2785,9711,11
296.3,0.779,-34.6,,,,2794,9754,11
294.3,0.779,-34.9,,,,2803,9801,10
292.6,0.779,-35.1,,,,2812,9841,9
290.7,0.779,-35.4,,,,2821,9887,7
288.6,0.877,-35.8,,,,2831,9937,5
286.7,0.877,-36.1,,,,2839,9983,5
284.8,0.779,-36.6,,,,2848,10029,5
283.3,0.779,-36.9,,,,2856,10065,5
281.2,0.779,-37.4,,,,2865,10117,6
279.2,0.779,-37.9,,,,2874,10166,6
277.4,0.779,-38.2,,,,2883,10211,6
275.5,0.877,-38.6,,,,2892,10258,6
273.8,0.974,-38.9,,,,2901,10300,4
271.8,0.974,-39.4,,,,2910,10350,4
270.1,0.974,-39.6,,,,2919,10393,4
268.2,0.974,-40.1,,,,2928,10442,4
266.8,0.974,-40.4,,,,2936,10477,4
264.9,0.877,-40.9,,,,2945,10526,4
263.3,0.877,-41.1,,,,2954,10567,5
261.5,0.877,-41.4,,,,2963,10614,6
259.5,0.877,-41.9,,,,2972,10666,8
258,0.779,-42.4,,,,2987,10705,9
255,0.779,-43.1,,,,2996,10784,11
253.5,0.779,-43.6,,,,3004,10823,11
251.7,0.779,-44.1,,,,3013,10871,11
250,0.779,-44.2,,,,3022,10917,11
248.1,0.779,-44.8,,,,3031,10968,11
246.6,0.779,-45.4,,,,3040,11008,11
244.4,0.779,-45.8,,,,3049,11068,10
242.6,0.779,-46.2,,,,3058,11117,10
241.6,0.779,-46.6,,,,3066,11145,10
240,0.682,-47.1,,,,3075,11189,10
238.4,0.682,-47.4,,,,3084,11233,11
237,0.682,-47.6,,,,3093,11272,11
235.1,0.682,-48.1,,,,3102,11325,12
234,0.682,-48.4,,,,3110,11356,13
232.3,0.682,-48.9,,,,3119,11404,14
230.6,0.682,-49.4,,,,3128,11452,14
228.8,0.682,-49.9,,,,3138,11503,15
227.5,0.682,-50.1,,,,3146,11540,13
225.5,0.682,-50.6,,,,3155,11598,13
224,0.682,-51.1,,,,3164,11641,13
222.6,0.682,-51.4,,,,3172,11682,14
221.1,0.682,-51.9,,,,3181,11726,13
219,0.682,-52.4,,,,3190,11787,13
217.8,0.682,-52.9,,,,3199,11823,14
216.4,0.585,-53.1,,,,3208,11864,15
215.1,0.585,-53.4,,,,3216,11903,17
213.6,0.585,-53.9,,,,3225,11948,19
211.9,0.585,-54.4,,,,3234,11999,20
210.4,0.585,-54.8,,,,3243,12045,20
208.3,0.585,-55.4,,,,3254,12109,20
206.8,0.585,-55.6,,,,3263,12155,19
205.3,0.585,-55.9,,,,3272,12201,18
204,0.585,-56.1,,,,3281,12242,18
