* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile,
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-03-01,23:38

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity
1013.9,1.48,25.5,49,59
974.7,1.62,20.5,394,67
938.5,1.64,17.3,719,81
896.4,1.52,14.4,1110,81
858.2,1.1,13.4,1477,70
824.2,1.03,11,1817,80
793.9,1.12,9.4,2129,55
769.1,2.23,11.2,2393,1
744.6,2.32,11.3,2663,1
719.7,2.52,10.3,2945,3
694,1.96,7.8,3246,18
669.2,2.32,6,3545,17
643.9,3.07,3.9,3859,19
622.3,3,2.4,4136,15
601.5,2.94,1,4409,14
581.4,2.74,-0.1,4681,8
560.7,2.2,-1.9,4970,8
538.8,1.73,-4.3,5285,9
517.6,1.61,-6.9,5599,14
496.8,1.69,-9.3,5917,21
475.7,1.75,-11.9,6251,23
455,1.8,-14.1,6590,25
435.8,1.8,-17,6916,39
416.8,1.57,-19.3,7248,57
399.3,1.44,-21.6,7566,55
380.6,1.37,-23.6,7919,46
361.8,1.06,-26.4,8286,50
343.9,0.96,-29.5,8651,50
327.2,0.97,-32.4,9004,45
310.5,0.89,-35,9371,38
295.7,0.93,-37.7,9711,33
281.4,0.92,-40,10051,33
268.9,0.86,-42.3,10359,29
255.6,0.94,-45.2,10701,31
242.9,0.92,-48.1,11037,30
230.1,1.04,-50.7,11391,23
218.2,0.91,-53.3,11735,23
207.4,0.75,-56.2,12060,25
197.1,0.77,-58.8,12382,29
187.2,0.9,-61,12704,29
177.5,0.95,-63.6,13032,29
169,1.22,-65.4,13334,27
160.8,1.77,-66.1,13634,26
151.8,2.98,-67.7,13981,24
145,3.95,-67.8,14258,21
137.9,3.84,-67.3,14560,15
130.9,3.42,-68.5,14870,10
124.5,3.16,-67.4,15175,8
118.2,3.63,-67.3,15485,4
112.3,3.42,-67.6,15795,4
106.7,2.75,-68,16100,1
101.5,2.96,-69.6,16399,1
96.7,3.1,-69.5,16687,1
91.5,3.82,-70.5,17018,1
86.8,3.8,-71.3,17333,1
82.3,3.83,-72.4,17644,1
78.1,3.35,-70.9,17952,1
74.1,4.02,-69.4,18268,1
70.2,4.36,-69.3,18591,1
66.4,4.95,-68.4,18918,1
62.9,5.75,-67.1,19246,1
59.7,5.92,-66.9,19563,1
56.4,7.11,-65.5,19903,1
53.4,6.89,-65.1,20240,1
50.4,7.4,-63.1,20597,1
47.6,7.52,-63.4,20941,1
45.1,8.6,-62.1,21283,1
42.6,8.88,-61.9,21624,1
40.3,9.83,-60,21978,1
38,10,-60.6,22338,1
35.9,10.04,-61.1,22692,1
34,10.43,-60.2,23037,1
32.1,11.36,-57.4,23400,1
30.3,12.12,-55.4,23769,1
28.6,12.78,-54,24139,1
27,13.07,-52.5,24511,1
25.5,13.07,-52.2,24874,1
24.1,13.19,-51.5,25243,1
22.7,13.41,-50.1,25630,1
21.3,13.44,-50,26026,1
20.1,13.35,-50.6,26422,1
18.9,12.86,-50.5,26807,1
17.9,13.49,-48.3,27179,1
16.9,13.13,-47.8,27570,1
15.8,13.05,-47.2,27983,1
14.9,12.23,-46.6,28379,1
14,11.79,-43.5,28800,1
13.2,11.86,-43.5,29215,1
12.4,11.23,-42.6,29634,1
11.6,11.2,-40.7,30061,1
10.9,10.71,-40.8,30482,1
10.3,9.48,-40,30914,1
9.6,9.17,-39.3,31373,1
9,8.49,-38.9,31825,1
8.4,8.08,-39.4,32273,1
7.9,7.47,-38,32729,1
7.4,7.1,-36.4,33169,1
6.9,6.72,-36.1,33620,1
6.5,6.06,-35.7,34044,1
