* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-03-13,23:36


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity
1009.5,0.57,26.1,49,68
979.4,0.61,21.8,313,65
942.8,0.59,19,643,67
906.9,0.58,16.1,975,75
877.7,0.62,14.1,1253,73
849.9,0.67,13.3,1524,76
824.2,0.69,12.2,1783,76
791.8,0.67,9.1,2118,90
760.2,0.81,9,2456,57
733.2,1.42,8.5,2755,30
709.1,1.59,6.6,3030,29
685.9,1.48,5.1,3302,61
663.2,1.13,3.6,3576,41
640.4,1.18,1.7,3858,53
618.2,1.17,-0.3,4143,59
595.4,1.3,-2.3,4443,46
572,1.42,-3.8,4760,25
549.3,1.29,-6.4,5078,44
529.1,2.33,-7.6,5369,24
507.1,3.01,-7.9,5700,3
487.7,2.22,-9.8,6002,13
468.9,1.91,-12.3,6304,16
451.3,1.75,-14.3,6595,12
434.5,1.64,-16.8,6881,14
417.5,1.44,-19.3,7180,32
400.8,1.28,-21.4,7482,38
383.5,1.15,-23.9,7804,49
367.6,1.64,-25.9,8113,19
352.7,1.74,-27.4,8413,11
339.1,1.75,-29.2,8693,10
325.6,1.33,-31.6,8982,24
312.3,1.19,-34,9276,18
298.7,1.2,-36.9,9585,17
286,1.08,-38.8,9885,16
273.4,1.04,-41.5,10193,19
261.5,1.2,-44,10493,16
251,0.87,-46.3,10767,20
240,0.81,-48.5,11062,17
228.7,0.74,-51.1,11378,18
218.9,0.65,-53.5,11662,19
209.4,0.54,-55.8,11943,19
200.1,0.48,-57.5,12234,14
191.3,0.47,-59.8,12516,13
182,0.46,-62,12824,12
174.1,0.61,-63.3,13097,12
166.1,0.98,-62.6,13389,10
158.5,1.8,-60.1,13679,7
149.9,1.94,-61.7,14024,4
143.2,1.78,-63.2,14308,4
136.6,1.84,-63.7,14597,4
130.3,2.06,-63.6,14887,4
124.5,2.35,-62.1,15167,3
119.1,1.89,-61.3,15442,2
113.6,1.87,-63.6,15735,2
108.2,1.83,-65.7,16028,2
103.1,1.97,-66.9,16324,2
98,2.04,-68,16625,2
93.2,2.14,-68.6,16932,2
88.6,2.15,-70.5,17234,2
84.1,2.29,-72.5,17540,2
79.8,2.3,-74.2,17842,2
75.8,2.32,-74.1,18145,2
72,2.94,-70.7,18445,2
68.3,3.57,-70.5,18758,3
64.7,3.91,-71.1,19082,3
61.4,4,-71.3,19386,3
58.2,5.06,-67.9,19713,3
55.2,7.38,-66.9,20030,3
52.3,8.56,-65.7,20361,3
49.4,8.86,-65.3,20697,3
46.8,8.48,-65,21031,3
44.4,9.06,-62.8,21354,3
42,9.47,-62.3,21696,3
39.6,10.47,-61.8,22058,3
37.4,10.32,-61.5,22409,3
35.5,10.67,-60.9,22740,3
33.6,11.32,-59.5,23085,3
31.7,12.02,-57,23442,2
30,13.02,-54.7,23797,2
28.3,13.45,-53.1,24169,2
26.8,13.78,-52.5,24516,2
25.4,13.7,-52.4,24871,2
24,14.08,-50.5,25235,2
22.7,13.96,-50.7,25612,2
21.4,13.71,-50.4,25984,2
20.3,13.71,-49.8,26346,2
19.1,13.29,-48.3,26714,2
18.1,13.45,-47.7,27099,2
17,13.03,-48.4,27488,2
16.1,12.73,-47.8,27864,2
15.2,12.21,-47.2,28250,2
14.3,11.8,-46.5,28631,2
13.5,11.64,-44.1,29025,2
12.7,11.15,-43.4,29443,2
11.9,10.65,-41.3,29851,2
11.3,10.05,-40.9,30256,2
10.6,9.73,-41,30634,1
10,9,-41.5,31042,2
9.5,8.58,-40.4,31415,2
8.9,8.24,-38.9,31834,2
8.4,7.43,-38,32250,2
7.9,6.82,-38.6,32663,2
7.4,6.09,-38.3,33083,2
7,5.75,-38.4,33486,2





