* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-04-23,23:49:00

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity
1016.3,2.23,25,49,61
979.2,2.23,20.6,372,73
945.6,2.27,17.9,673,83
904.3,2.24,14.6,1054,85
872,1.99,14.2,1362,66
841.6,1.81,12.2,1660,82
805.8,1.78,10.4,2023,89
773.3,2.1,9.8,2367,60
740.6,2.42,7.1,2725,54
707.3,2.74,7.7,3103,4
675.1,3.1,5.4,3485,3
647.8,3.25,4.1,3821,3
619.8,3,1.9,4178,2
593.3,2.89,0.7,4529,2
566.4,1.87,-2,4900,19
540.2,1.57,-5.5,5274,24
514.7,1.26,-9,5650,24
491,1.21,-10,6014,5
468.9,1.61,-11.9,6368,3
447.2,1.3,-14.3,6729,3
426.6,1.49,-17.3,7084,5
407.7,1.29,-19.8,7422,4
389.1,1.44,-21.9,7767,4
371,1.46,-22.8,8116,21
354.9,1.15,-25,8440,27
339.6,0.96,-27.6,8758,19
323.5,0.93,-30.3,9107,18
308,0.84,-33.4,9454,25
293.1,0.78,-36.9,9799,36
279.5,0.67,-39.2,10125,36
266.9,0.66,-41.5,10439,15
255.3,0.67,-44.1,10739,18
243,0.63,-47.1,11068,24
231.8,0.62,-49.9,11379,24
221.7,0.57,-52.4,11668,29
211,0.64,-54.7,11987,27
201.2,0.67,-57.1,12288,31
191.8,0.8,-58.9,12589,27
183,0.55,-60.7,12882,28
174.7,0.61,-61.8,13170,25
167.5,1.06,-62.6,13432,15
159.7,1.14,-63.5,13723,12
151.7,1.13,-64.2,14037,9
144.8,1.06,-66.4,14323,7
138.2,1.04,-68.3,14603,7
131.8,1.07,-70.4,14887,7
125.5,1,-72.1,15176,7
119.4,0.8,-73.6,15468,7
113.1,0.99,-72.6,15786,7
107.6,1.19,-73.1,16078,7
102.4,1.27,-73.3,16370,6
97.6,1.37,-72.5,16652,6
93,2.23,-72.4,16933,6
88.5,2.43,-72.2,17223,5
84.2,3.24,-72.2,17517,5
80.2,3.43,-71.6,17805,5
76.5,2.93,-71.3,18085,4
72.7,2.99,-70.6,18383,4
69.1,3.63,-69.9,18686,4
65.7,4.97,-69.1,18991,4
62.7,7.74,-67.6,19268,4
59.7,8.75,-67.4,19562,4
56.7,8.18,-66.8,19871,4
53.9,8.25,-66.7,20178,4
51.3,9.24,-65.9,20484,4
48.8,9.91,-66.2,20788,4
46.2,10.61,-63.7,21113,3
43.9,10.09,-61.3,21436,4
41.6,11.09,-61.3,21761,4
39.4,11.62,-58.2,22098,4
37.4,11.64,-58.4,22432,4
35.4,11.26,-57.7,22774,4
33.5,10.77,-59.4,23129,3
31.7,11.13,-58,23479,4
29.9,11.91,-57,23833,4
28.3,11.82,-56.6,24184,4
26.8,12.36,-56.2,24526,3
25.4,13.12,-55,24872,4
24.1,13.14,-54.6,25212,3
22.8,13.21,-53.6,25577,4
21.6,13.14,-50.9,25930,3
20.4,13.22,-50.9,26295,3
19.3,12.75,-50.8,26661,3
18.2,12.54,-50.5,27027,3
17.2,11.76,-50.3,27400,3
16.2,11.59,-49.3,27786,3
15.3,11.08,-46.8,28184,2
14.4,11.3,-46.2,28565,3
13.6,10.4,-46.3,28959,2
12.8,9.79,-47.7,29340,2
12.2,9.57,-46.2,29690,2
11.5,8.94,-45.6,30067,2
10.9,8.69,-44.6,30445,2
10.2,8.13,-44.6,30863,2
9.6,7.84,-44.1,31256,2
9.1,7.42,-42.9,31654,2
8.6,7.14,-41.8,32046,2
