* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-10-01,23:37

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1013.3,2.25,18.9,49,57,
982.3,2.5,15.5,313,61,
946,2.49,12.7,631,69,
905.8,2.46,9,994,85,
872.2,2.69,9.9,1307,33,
835.7,3.32,10.8,1662,2,
803.9,3.36,8.6,1983,4,
769.3,3.2,6.2,2344,7,
735,3.42,4.1,2716,12,
702.2,3.62,2.1,3086,6,
670.8,3.43,0.1,3452,8,
641.1,3.48,-2.1,3814,6,
611.6,3.58,-4.7,4186,10,
582.7,3.94,-8.1,4564,23,
556.3,3.91,-10.1,4923,10,
529,4.06,-10.6,5310,10,
503.7,3.71,-13,5685,35,
478.4,2.86,-14.5,6077,43,
452.5,2.23,-16.5,6497,42,
427.9,2.59,-18.7,6916,38,
405.8,1.34,-21.1,7309,53,
383.3,1.86,-23.2,7729,30,
363.8,1.91,-26.4,8107,33,
344.7,1.25,-28.8,8495,39,
327.8,1.29,-31.7,8853,36,
311.4,1.28,-34.9,9213,45,
295.8,1.25,-38.2,9570,46,
280.1,1.02,-41.5,9941,34,
265.5,1.03,-44.3,10302,20,
252.1,1.1,-47.5,10648,17,
237.9,1.09,-50.7,11028,16,
224.7,1.28,-53.2,11399,16,
213.5,1.45,-55.2,11726,16,
202.3,1.52,-57.8,12068,16,
191.3,1.44,-60.8,12418,19,
180.6,1.59,-60.9,12775,19,
170.8,1.87,-60.8,13121,21,
160.1,2.14,-61.5,13522,13,
152.8,1.92,-63.6,13812,8,
146,1.75,-62.6,14092,6,
137.9,1.68,-64.6,14439,7,
131.3,1.66,-66.5,14739,6,
124.4,1.67,-66.4,15064,7,
117.1,1.72,-68.6,15429,7,
111.5,1.91,-67.9,15721,7,
106.1,2.12,-67.4,16020,6,
100.9,2.62,-67.8,16323,7,
95.8,3.16,-67.1,16640,7,
90.8,3.43,-68.3,16961,7,
86,4.09,-68,17285,7,
81.5,4.65,-67.5,17606,5,
77.4,5.61,-65.6,17919,5,
73.2,6.95,-65.2,18258,4,
69.4,7.82,-65.1,18580,3,
65.6,8.46,-64.7,18929,3,
62,8.19,-66.2,19274,2,
58.7,9.23,-64.3,19599,2,
55.6,10.08,-63.6,19939,1,
52.5,10.62,-62.6,20284,1,
49.7,11.93,-62.1,20626,1,
47.1,12.46,-60.8,20956,1,
44.5,13.65,-59.4,21312,1,
42.1,14.43,-58.3,21662,1,
39.8,15.47,-57.7,22018,1,
37.6,15.66,-57.8,22379,1,
35.5,14.86,-57.5,22730,1,
33.6,15.14,-56.7,23083,2,
31.8,14.54,-56.5,23431,1,
30,14.74,-56.3,23803,2,
28.2,13.98,-56.1,24199,2,
26.6,12.55,-55.7,24576,2,
25.1,13.34,-55.5,24947,2,
23.6,13.57,-55.4,25326,3,
22.2,12.94,-54.6,25707,3,
20.9,12.16,-54,26102,2,
19.7,11.02,-54.8,26483,3,
18.5,10.26,-54.5,26878,3,
17.5,10.28,-53.1,27259,2,
16.4,9.84,-53.8,27657,3,
15.5,9.8,-52.1,28028,2,
14.6,9.89,-50.3,28434,2,
13.7,9.82,-48.4,28834,2,
12.9,9.5,-47.4,29226,2,
12.1,8.93,-47.3,29644,2,
11.4,8.55,-47.5,30039,3,
10.7,8,-47.3,30452,2,
10.1,7.71,-45.2,30846,2,
9.5,7.32,-42.2,31267,2,
8.9,6.92,-41.7,31674,1,
