* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
* GTE Station: Easter Island, Chile
* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported.
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2017-11-03,EIMO,2.0,Crespo  Juan Climatological Services Office  Santiago  Chile
* NASA-LaRC Project Co-ordinator: Vince Brackett,NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,UNKNOWN,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-05-22,00:02:00

#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1011,1.78,22.2,49,82,
968,1.83,17.6,423,84,
925,1.65,15.5,811,92,
889.4,1.59,13.6,1144,94,
859.1,1.6,12.6,1436,90,
828.8,1.59,11.2,1738,89,
796.7,1.48,9.3,2067,87,
761.5,1.5,7.2,2441,87,
724.8,1.48,4.5,2846,87,
689.3,1.68,2.4,3254,54,
652.6,1.86,-0.7,3693,36,
620.7,1.87,-3.2,4091,23,
592.6,1.75,-5.6,4456,25,
567.7,1.68,-7.3,4792,27,
544.7,1.59,-8.7,5113,13,
522.2,1.47,-10.6,5438,23,
498.2,1.44,-12.3,5800,78,
473.8,1.3,-14.4,6181,70,
449.4,1.3,-17.3,6580,58,
424.3,1.28,-20.4,7007,38,
399.9,1.4,-23.9,7444,29,
375.2,1.22,-26.5,7906,52,
354.5,1.12,-30.1,8314,52,
336,1.05,-33.3,8692,50,
317,0.99,-36.7,9099,47,
298.3,0.93,-40.6,9517,52,
281.5,0.85,-44.2,9907,55,
265.9,0.77,-47.2,10288,45,
251.2,0.74,-50.6,10660,50,
237.9,0.68,-53.5,11012,53,
224.3,0.64,-56.8,11387,46,
210.4,0.79,-58.1,11792,40,
197.7,1.43,-56.9,12183,17,
184.8,1.89,-57.1,12610,5,
174.2,1.52,-58.2,12982,3,
166.2,1.42,-59.1,13278,4,
157.5,1.57,-61.1,13613,4,
148.2,1.53,-62.6,13989,4,
141,1.49,-62.5,14296,1,
134.7,1.48,-63.8,14578,1,
129,1.43,-64.7,14843,1,
123.1,1.48,-65.8,15126,1,
116.7,1.61,-66.8,15451,1,
110.3,1.88,-66.2,15794,1,
104.7,1.8,-68.3,16109,1,
99.5,1.61,-69.1,16408,1,
94.6,1.57,-69.1,16715,1,
90,1.96,-67.4,17014,1,
85.4,2.24,-69.1,17330,1,
80.6,2.43,-68.9,17676,1,
76.3,3.06,-69.6,18002,1,
71.9,3.87,-70,18350,1,
68.2,5.34,-68.8,18664,1,
64.9,7.03,-67.8,18971,1,
61.6,9.15,-64.5,19278,1,
58.2,10.42,-63.6,19633,1,
54.8,9.75,-64.5,19995,1,
51.8,8.59,-65.5,20336,1,
49,8.25,-63.4,20678,1,
46.2,9.24,-64,21046,1,
43.6,9,-62.9,21396,1,
41.1,10.38,-60.8,21765,1,
38.8,10.54,-60.7,22124,1,
36.6,11.17,-59.3,22488,1,
34.5,11.92,-57.2,22848,1,
32.6,12.15,-56.8,23216,1,
30.9,12.13,-56.2,23563,1,
29,12.22,-55.9,23967,1,
27.2,12.96,-54.7,24372,1,
25.6,12.65,-55.5,24748,1,
24.2,12.44,-54.8,25116,1,
22.7,12.81,-53.6,25509,1,
21.3,13.03,-54.1,25935,1,
19.9,13.11,-53.1,26354,1,
18.7,13.27,-51.9,26766,1,
17.6,13.04,-51.2,27163,1,
16.5,12.59,-50,27582,1,
15.5,12.03,-49.2,28012,1,
14.6,10.53,-48.2,28395,1,
13.7,9.04,-46.9,28793,1,
12.9,8.91,-46.8,29228,1,
12,8.17,-47.2,29673,1,
11.3,7.26,-45.8,30100,1,
10.6,7,-43.9,30497,1,
10,6.51,-43.3,30893,1,
9.4,6.29,-43.2,31308,1,
8.8,5.95,-41.3,31771,1,
8.2,4.96,-41.5,32225,1,
7.8,4.95,-40.6,32611,1,
