* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-09-09,23:38


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1017.2,1.77,22,49,65,
978.7,1.98,17.3,381,70,
934.6,1.96,14,773,84,
901.8,1.94,11.5,1073,82,
869.6,1.88,10.4,1377,79,
841.8,1.81,8.9,1647,84,
813.2,1.86,8.4,1934,54,
785.3,2.54,8.4,2222,13,
755.9,2.3,6.3,2535,33,
726.6,2.88,6.4,2859,9,
701.7,3.97,6.9,3145,1,
676.4,4.13,6,3445,1,
653.1,3.31,4,3731,7,
627.4,3.13,1.7,4055,10,
604.4,2.8,-0.5,4354,15,
582.3,2.87,-2.4,4652,11,
561.3,3.01,-4.7,4941,12,
540.6,2.12,-7.2,5235,24,
520,1.9,-10.2,5536,30,
498.3,1.77,-13.1,5863,34,
478.4,1.78,-15.8,6172,39,
458.5,1.81,-17.9,6491,22,
440.2,2.03,-20.2,6795,13,
420.4,2.02,-23.2,7133,15,
402.1,2.13,-25.4,7458,16,
383.6,2.08,-27,7797,37,
366,2.23,-29.7,8135,47,
348.7,2.18,-32.9,8477,40,
332,2.14,-36,8820,46,
316.6,2.76,-38.4,9149,28,
302.2,2.63,-40.5,9466,21,
286.8,2.31,-42.4,9822,14,
272.4,2.01,-45.5,10166,22,
259.2,1.95,-48.5,10496,24,
246.1,1.97,-51.6,10836,25,
232.7,2,-55.1,11194,27,
219.7,1.85,-57.9,11560,27,
208.8,1.9,-58.7,11879,25,
198.2,1.98,-60,12206,18,
187.3,2.33,-61.2,12557,12,
177.5,2.26,-61.6,12893,9,
169.2,2.4,-62.3,13189,6,
161.4,2.03,-62.7,13479,5,
154.3,1.66,-63.7,13756,4,
147,2.32,-64.6,14051,3,
139.8,2.32,-64.5,14358,3,
132.5,2.04,-65,14686,2,
125.4,1.92,-66.8,15018,1,
119.2,2.08,-68,15324,1,
113.3,2.29,-69,15626,1,
107.8,2.62,-67.8,15924,1,
102.4,3.52,-66.4,16237,1,
97,3.34,-67.1,16564,1,
91.9,3.56,-67.1,16888,1,
87.2,3.14,-67.6,17203,1,
82.7,3.54,-65.5,17530,1,
78.2,3.72,-64.6,17867,1,
74.3,6.05,-64.2,18182,1,
70.3,6.64,-62.9,18517,1,
66.7,5.9,-62.5,18848,1,
63.3,5.19,-63.3,19165,1,
60.1,6.71,-62.1,19482,1,
57.1,7.88,-60.3,19799,1,
54.2,8.36,-60.5,20124,1,
51.3,8.82,-60.3,20467,1,
48.7,9.07,-59.7,20796,1,
46.1,8.89,-59.4,21133,1,
43.7,9.01,-60.6,21478,1,
41.1,9.28,-61.3,21851,1,
38.9,9.93,-60.7,22197,1,
36.8,9.71,-60.2,22543,1,
34.7,9.9,-60.2,22906,1,
32.7,10.35,-59.9,23272,1,
30.9,11.9,-59.3,23631,1,
29.2,12.2,-58.8,23978,1,
27.6,12.35,-59.5,24341,1,
26.1,12.79,-58.1,24696,1,
24.6,12.32,-57.1,25071,1,
23.2,12.06,-57.4,25447,1,
21.8,12.26,-55.4,25817,1,
20.6,12,-54.9,26199,1,
19.3,11.81,-54.7,26593,1,
18.2,11.41,-55.5,26973,1,
17.2,11.37,-53.7,27352,1,
16.2,10.92,-51.9,27739,1,
15.2,11.79,-50.8,28133,1,
14.3,10.2,-48.3,28533,1,
13.4,9.49,-47.1,28954,1,
12.6,8.89,-46.4,29368,1,
11.9,8.52,-46.5,29778,1,
11.2,8.05,-46.3,30190,1,
10.5,8.52,-46.6,30579,1,
9.9,8.52,-47.3,30977,1,
9.3,8.14,-46.9,31387,1,
8.7,7.68,-47.5,31829,1,
8.2,7.24,-45.8,32229,1,
7.8,6.57,-45.6,32597,1,





