* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* Crespo, Juan,Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1,"Crespo, Juan Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,EasterIsland,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-06-03,00:10:00


#PROFILE
Pressure,O3PartialPressure,Temperature,GPHeight,RelativeHumidity,
1016.1,7.15,23.3,49,68,
988.3,6.13,19.3,290,67,
950,5.37,16,628,80,
915.4,5.02,13.5,943,79,
881.8,4.76,11.2,1257,79,
854.3,4.58,12,1522,33,
822.5,4.74,14.1,1839,2,
789.7,4.47,12.4,2181,10,
759.4,4.28,10.3,2506,3,
731.9,4.24,9.6,2812,2,
704.4,3.78,8.3,3129,27,
676.6,3.11,5.9,3459,31,
649.1,3.03,3.7,3797,30,
622.1,3.3,1.7,4141,27,
597.2,2.98,0,4469,21,
572.4,2.93,-1.9,4807,18,
548.5,2.81,-4.3,5145,26,
524.1,2.82,-6,5502,5,
501.5,2.47,-8.8,5845,16,
478.7,2.25,-12,6202,27,
460.4,1.99,-13.6,6500,43,
440.7,1.89,-14.7,6832,23,
421.9,1.95,-17.1,7161,18,
404.4,1.98,-19.9,7476,13,
386.4,1.8,-22.9,7812,25,
368.4,1.64,-26.1,8159,35,
350.8,1.58,-29.4,8510,48,
335.4,1.53,-31.6,8831,70,
321.1,1.47,-34.1,9136,64,
305.6,1.32,-36.4,9480,47,
290.9,1.32,-39.4,9820,46,
277.3,1.32,-41.9,10147,45,
264.7,1.39,-44.4,10460,39,
252.8,1.34,-46.1,10765,21,
242.6,1.55,-45.2,11040,8,
232.9,1.49,-45.7,11311,5,
223.2,1.61,-46.9,11595,3,
213.7,1.64,-48.7,11880,2,
204.7,1.51,-50.7,12163,2,
195.9,1.37,-52.6,12447,2,
187.7,1.19,-54.9,12721,2,
180.1,1.22,-56.4,12987,2,
170.9,1.31,-58.1,13319,1,
163.2,1.31,-60.6,13607,1,
155.6,1.23,-62.9,13902,1,
148.1,1.18,-65.3,14202,1,
141.4,1.23,-67.6,14484,2,
134.3,1.24,-69.8,14790,2,
127.7,1.22,-72,15089,2,
121.5,1.23,-72.3,15382,2,
115.5,1.27,-71.4,15680,3,
107.7,1.31,-71.3,16096,2,
101.6,1.32,-72.7,16442,2,
96.4,1.36,-74.1,16745,2,
91.5,1.49,-74,17053,2,
87,1.75,-73.8,17343,2,
82.5,1.74,-74.4,17652,1,
78.2,2.08,-73,17965,1,
74.2,3.1,-72.8,18273,1,
70.5,3.94,-73.5,18572,1,
67,5.85,-71.6,18873,2,
63.7,4.86,-70.1,19174,2,
60.5,8.2,-68.9,19482,2,
57.4,9.27,-68.1,19795,1,
54.4,9.88,-67.4,20119,1,
51.6,10.06,-67.3,20434,1,
49,9.84,-66.5,20753,1,
46.4,10.75,-65.9,21079,1,
44,10.41,-63.4,21403,1,
41.7,9.35,-61.7,21728,1,
39.5,9.61,-61.9,22072,1,
37.3,10.51,-60.6,22422,1,
35.3,10.69,-61.3,22765,1,
33.4,11.65,-61.1,23103,1,
31.6,12.17,-60.1,23449,1,
29.9,12.68,-59.2,23794,1,
28.4,12.71,-56.2,24131,1,
26.9,11.94,-56.1,24469,1,
25.5,8.96,-56.6,24816,1,
24,8.65,-57.1,25183,1,
22.6,8.75,-56.9,25567,1,
21.4,8.05,-56.4,25923,1,
20.2,6.57,-56.7,26274,1,
19.1,4.31,-57.2,26630,1,
18.1,3.31,-56,26993,1,
