* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-7-20,23:37
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1019.4,1.88,20.1,49,72
990.2,2.19,17.1,298,62
953.5,2.09,14.5,619,64
916.3,2.01,12.2,955,69
876,2,9.9,1330,75
840.4,2.28,8.5,1674,61
806.2,2.26,6.6,2016,50
774.8,2.35,4.6,2341,25
745.8,2.62,2.5,2650,32
719.4,2.55,0,2940,33
691.8,2.76,-0.7,3253,17
667.7,2.57,-1.7,3535,23
640.9,2.55,-2.2,3861,9
615.9,2.35,-4.6,4175,32
589.4,2.26,-6.4,4519,28
565.9,2.23,-8.7,4837,29
540.2,2.23,-11.5,5194,32
519.3,2.08,-13.9,5496,40
496.8,1.99,-16.9,5830,46
474.9,1.96,-20,6167,51
456.9,1.88,-22.4,6451,49
438,1.95,-25.1,6760,48
421.7,2.04,-27.6,7035,30
405.6,1.92,-29.5,7313,37
389.4,1.73,-31.9,7603,36
372.9,1.66,-34.4,7906,34
357.8,1.67,-37,8195,34
342.1,1.55,-39.3,8502,9
328,1.51,-41.7,8790,23
316.3,1.74,-43.3,9036,19
304.7,2.08,-44.8,9286,18
292.2,2.3,-46.9,9564,17
280.7,2.44,-49.2,9830,13
269.6,2.69,-50.6,10093,17
258.7,3.19,-51.3,10361,12
248.9,3.71,-51.5,10611,9
239.4,3.69,-51.6,10863,6
229.8,4,-52.4,11129,6
219.6,3.99,-53.7,11423,6
211,4.08,-54.7,11678,7
201.5,4.3,-55.9,11972,7
192.3,4.27,-56.1,12268,8
184.5,4.28,-56.1,12531,6
178,4.07,-54.9,12761,7
171.3,3.89,-54.6,13006,6
164.3,3.6,-54.6,13274,7
157.7,3.56,-55.1,13536,4
150.9,3.84,-56.2,13816,6
144.2,4.01,-57.5,14105,7
137.7,3.84,-59,14392,8
132.1,3.69,-59.7,14655,8
126.6,3.46,-60.9,14918,7
121.3,3.17,-61.7,15183,6
116.3,3.83,-62.3,15441,2
111.5,4.21,-62.9,15703,8
106.8,4.36,-63.2,15966,11
101.9,5.29,-63,16256,8
97.2,6.06,-63.6,16545,1
92.9,6.83,-62.9,16824,1
88.8,7.02,-64.3,17106,1
85.1,7.06,-63,17366,1
81.3,5.12,-63.5,17642,1
77.6,4.13,-63.7,17933,1
73.8,4.66,-64.3,18235,1
70.3,7.41,-63.4,18534,1
67.2,10.66,-61.9,18817,1
63.8,11.2,-63,19130,1
60.7,11.41,-62.6,19439,1
57.9,10.38,-63.8,19729,1
55.3,10.39,-61.5,20018,1
52.6,12.52,-61.1,20326,1
50.1,13.99,-58.5,20629,1
47.6,15.43,-57.3,20953,1
45.3,15.29,-58.1,21258,1
43.1,15.61,-58.6,21573,1
40.9,15.54,-58.6,21913,1
38.7,15.55,-57.9,22253,1
36.8,15.69,-56.4,22571,1
35.1,15.72,-55,22872,1
33.4,15.27,-54.6,23185,1
31.7,15.25,-54.4,23527,1
30,14.53,-54.5,23884,1
28.4,14.64,-54.4,24230,1
26.9,14.21,-54,24576,1
25.5,13.79,-53.8,24921,1
24.1,13.3,-55.1,25282,1
22.8,12.62,-55,25644,1
21.6,12.13,-54.7,25977,1
20.5,11.53,-52.6,26324,///
19.4,10.94,-51.7,26686,///
18.3,10.66,-52.5,27058,///
17.3,10.11,-53.2,27412,///
16.4,9.58,-52.9,27751,///
15.6,9.61,-52.8,28096,///
14.7,9.25,-51.7,28446,///
14,9.46,-50.5,28781,///
13.3,9.17,-50.1,29118,///
12.6,8.98,-48.9,29476,///
12,8.64,-49,29789,///
11.4,8.4,-48.8,30103,///
