#CONTENT 
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority
2014-07-05,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2014-07-05,00:12:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1018.1,2.5,19.6,69.0,49.0
1017.4,2.5,19.4,72.2,54.8
1016.4,2.6,19.4,72.3,63.1
1015.4,2.7,19.3,72.0,72.2
1014.5,2.7,19.3,72.0,79.7
1013.6,2.7,19.2,72.0,87.4
1012.6,2.8,19.1,72.2,96.1
1011.5,2.8,19.1,72.3,104.9
1010.6,2.8,19.0,72.5,112.9
1009.8,2.8,18.9,72.5,119.8
1008.9,2.9,18.9,72.4,127.3
1008.1,2.9,18.9,72.5,134.4
1007.0,3.0,18.8,72.7,143.3
1006.0,3.0,18.8,72.6,151.9
1005.2,3.0,18.7,72.8,158.6
1004.4,3.0,18.6,73.1,165.2
1003.5,3.0,18.5,73.4,173.1
1002.6,3.0,18.5,73.5,181.3
1001.6,3.0,18.4,73.8,189.7
1000.7,3.1,18.3,74.3,197.4
999.9,3.1,18.2,74.7,204.2
999.0,3.1,18.1,75.1,211.5
998.0,3.1,18.0,75.5,220.2
997.0,3.1,18.0,75.7,229.2
996.1,3.1,17.9,75.8,237.1
995.1,3.1,17.8,76.0,245.0
994.1,3.1,17.7,76.3,254.4
992.9,3.1,17.7,76.5,264.1
991.8,3.1,17.6,76.6,273.7
990.7,3.1,17.5,76.8,283.7
989.6,3.1,17.4,77.2,293.2
988.5,3.2,17.3,77.8,302.2
987.4,3.2,17.2,77.9,312.3
986.1,3.2,17.1,77.5,322.9
985.0,3.2,17.1,77.1,332.4
983.8,3.2,17.0,76.7,343.0
982.4,3.2,16.9,76.2,355.1
981.2,3.2,16.9,76.1,365.8
980.1,3.2,16.8,76.2,375.2
979.1,3.2,16.7,76.4,384.1
977.9,3.2,16.6,76.7,394.7
976.5,3.2,16.5,76.4,406.3
975.4,3.2,16.4,76.2,416.0
974.6,3.2,16.3,77.0,423.0
973.8,3.2,16.3,77.6,430.2
972.9,3.2,16.2,77.9,438.3
971.9,3.2,16.1,77.1,447.2
970.7,3.2,16.1,76.1,457.3
969.5,3.2,16.0,75.4,467.8
968.5,3.2,15.9,75.9,476.5
967.6,3.2,15.8,76.7,484.8
966.5,3.2,15.7,78.0,494.1
965.2,3.2,15.6,78.1,505.4
963.9,3.2,15.6,78.0,517.2
962.8,3.2,15.5,78.3,527.4
961.8,3.2,15.4,78.9,535.9
960.8,3.2,15.3,78.8,544.9
959.7,3.2,15.2,78.3,554.2
958.6,3.2,15.1,78.5,563.9
957.5,3.2,15.0,78.8,573.5
956.4,3.2,15.0,79.4,583.1
955.2,3.2,14.8,80.1,594.3
953.9,3.2,14.7,80.2,605.9
952.6,3.2,14.6,80.0,617.5
951.6,3.2,14.6,80.2,626.5
950.7,3.2,14.5,80.5,634.1
949.8,3.2,14.4,79.9,642.6
948.6,3.2,14.3,79.8,652.7
947.5,3.2,14.2,80.5,662.3
946.6,3.2,14.2,80.9,671.0
945.6,3.2,14.1,81.0,680.0
944.5,3.2,14.0,81.2,689.7
943.3,3.2,13.9,81.3,700.0
942.2,3.2,13.8,80.9,710.0
941.1,3.3,13.8,79.5,720.1
939.9,3.3,13.8,77.8,730.4
938.9,3.2,13.7,77.1,739.6
938.0,3.3,13.7,76.9,747.6
937.1,3.2,13.6,75.7,755.9
936.2,3.2,13.7,73.9,763.9
935.2,3.3,13.7,73.1,773.0
934.0,3.3,13.6,73.1,784.0
933.0,3.2,13.5,73.2,793.3
932.1,3.3,13.4,73.4,801.3
931.1,3.3,13.4,73.5,809.6
930.1,3.2,13.3,73.6,819.1
929.1,3.2,13.2,73.9,827.9
928.2,3.2,13.1,74.0,836.2
927.2,3.2,13.0,74.0,845.2
926.2,3.3,12.9,74.1,854.7
925.1,3.3,12.9,74.4,864.1
924.1,3.3,12.8,74.7,873.4
923.2,3.3,12.7,75.1,882.0
922.2,3.3,12.6,75.6,890.6
921.2,3.3,12.6,76.2,900.1
920.0,3.3,12.5,76.6,910.9
918.6,3.3,12.4,76.4,923.4
917.1,3.3,12.3,76.2,937.1
915.8,3.3,12.1,76.7,949.1
914.8,3.3,12.1,77.1,958.7
913.8,3.3,12.0,77.4,967.9
912.8,3.3,11.9,77.9,976.5
912.0,3.3,11.8,78.1,983.9
911.2,3.3,11.8,78.3,991.3
910.3,3.3,11.7,78.4,999.7
909.3,3.3,11.6,78.0,1008.7
908.2,3.3,11.6,77.8,1019.6
906.8,3.3,11.4,78.4,1032.4
905.4,3.3,11.3,79.6,1044.6
904.2,3.2,11.2,81.3,1056.3
903.0,3.2,11.1,82.6,1067.1
902.2,3.2,11.0,83.2,1074.7
901.5,3.2,10.9,83.6,1081.4
900.6,3.2,10.9,83.9,1089.0
899.8,3.2,10.8,83.9,1097.0
898.9,3.2,10.8,83.3,1105.1
897.9,3.2,10.7,82.8,1114.5
897.0,3.2,10.7,83.1,1123.2
896.0,3.2,10.6,84.2,1132.2
894.8,3.2,10.5,85.9,1143.2
893.7,3.2,10.4,87.0,1153.8
892.7,3.2,10.3,87.8,1162.7
891.9,3.2,10.3,87.3,1170.9
891.0,3.2,10.5,85.3,1178.5
890.4,3.2,10.5,83.5,1184.8
889.7,3.2,10.6,81.8,1191.3
888.7,3.2,10.7,79.8,1200.0
887.7,3.2,10.7,77.2,1209.9
886.8,3.2,10.8,75.5,1217.8
886.1,3.2,10.8,75.0,1224.9
885.0,3.2,10.7,74.1,1235.1
883.9,3.2,10.7,72.9,1245.2
883.2,3.2,10.7,72.2,1252.7
882.3,3.2,10.7,71.6,1260.9
881.4,3.2,10.7,71.5,1269.1
880.7,3.2,10.6,71.5,1276.2
879.8,3.2,10.7,69.9,1284.6
878.8,3.2,10.7,67.4,1293.8
877.8,3.2,10.8,66.5,1303.6
876.8,3.2,10.9,64.9,1312.5
875.9,3.2,11.0,61.5,1321.1
874.9,3.2,11.4,55.7,1331.0
873.6,3.3,11.8,49.5,1343.1
872.2,3.3,11.9,46.2,1356.9
