#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority
2015-05-08,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2015-05-08,23:35:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1013.6,2.4,21.6,59.0,49.0
1012.5,2.4,21.3,57.0,58.0
1011.5,2.5,21.1,57.0,67.0
1010.4,2.5,21.0,57.0,76.0
1009.3,2.5,20.9,57.0,86.0
1007.9,2.5,20.7,58.0,97.0
1006.7,2.5,20.6,57.0,108.0
1005.7,2.5,20.5,57.0,117.0
1004.7,2.5,20.4,58.0,125.0
1003.7,2.5,20.3,58.0,134.0
1002.7,2.5,20.2,57.0,143.0
1001.7,2.5,20.2,57.0,151.0
1000.6,2.5,20.1,57.0,161.0
999.4,2.5,20.0,57.0,171.0
998.3,2.5,19.9,59.0,180.0
997.6,2.5,19.8,60.0,187.0
996.7,2.5,19.7,60.0,194.0
995.8,2.5,19.7,60.0,202.0
995.0,2.6,19.6,60.0,209.0
994.1,2.6,19.5,59.0,217.0
993.1,2.6,19.5,58.0,226.0
992.1,2.6,19.4,59.0,234.0
991.1,2.6,19.3,60.0,243.0
990.2,2.6,19.2,61.0,251.0
989.4,2.6,19.1,62.0,257.0
988.7,2.6,19.1,63.0,263.0
988.0,2.6,19.0,62.0,270.0
987.0,2.6,19.0,62.0,279.0
985.8,2.6,18.9,63.0,289.0
984.6,2.6,18.8,64.0,299.0
983.5,2.6,18.6,65.0,309.0
982.7,2.5,18.5,65.0,316.0
982.0,2.5,18.5,64.0,322.0
981.2,2.5,18.5,63.0,329.0
980.4,2.5,18.4,63.0,336.0
979.7,2.6,18.4,64.0,342.0
979.1,2.6,18.3,64.0,347.0
978.5,2.6,18.2,64.0,353.0
977.8,2.6,18.1,64.0,359.0
977.0,2.6,18.1,64.0,366.0
976.3,2.6,18.1,64.0,372.0
975.5,2.6,18.0,65.0,379.0
974.7,2.5,17.9,65.0,386.0
974.1,2.5,17.8,65.0,392.0
973.4,2.5,17.8,66.0,397.0
972.6,2.5,17.8,67.0,404.0
971.8,2.5,17.7,67.0,412.0
971.0,2.5,17.6,67.0,418.0
970.2,2.5,17.5,67.0,425.0
969.4,2.5,17.5,66.0,433.0
968.6,2.5,17.4,66.0,439.0
967.7,2.5,17.3,67.0,448.0
966.5,2.5,17.3,68.0,458.0
965.2,2.6,17.1,68.0,470.0
963.9,2.6,17.0,69.0,482.0
962.7,2.6,16.9,70.0,491.0
961.9,2.5,16.8,71.0,499.0
960.9,2.5,16.7,72.0,508.0
960.1,2.5,16.7,71.0,515.0
959.3,2.5,16.6,71.0,522.0
958.4,2.5,16.5,71.0,530.0
957.4,2.5,16.4,71.0,539.0
956.5,2.6,16.3,70.0,547.0
955.6,2.5,16.3,69.0,555.0
954.9,2.5,16.2,69.0,562.0
954.1,2.5,16.1,69.0,569.0
953.2,2.5,16.1,69.0,577.0
952.4,2.5,16.0,69.0,584.0
951.6,2.5,15.9,69.0,591.0
950.8,2.5,15.8,70.0,598.0
949.9,2.5,15.8,69.0,605.0
949.0,2.5,15.7,68.0,614.0
948.0,2.5,15.6,67.0,623.0
947.1,2.5,15.6,68.0,631.0
946.3,2.5,15.5,70.0,638.0
945.4,2.5,15.5,71.0,646.0
944.2,2.5,15.4,72.0,657.0
942.9,2.5,15.2,72.0,669.0
941.6,2.5,15.1,73.0,681.0
940.3,2.5,15.0,74.0,692.0
939.0,2.5,14.9,75.0,704.0
937.6,2.5,14.8,75.0,716.0
936.6,2.5,14.7,75.0,726.0
935.7,2.5,14.7,75.0,734.0
934.6,2.5,14.6,75.0,743.0
933.4,2.5,14.5,74.0,754.0
932.3,2.5,14.4,75.0,765.0
931.2,2.5,14.3,75.0,774.0
930.3,2.5,14.2,76.0,783.0
929.4,2.5,14.1,76.0,791.0
928.5,2.5,14.0,77.0,799.0
927.6,2.5,14.0,77.0,807.0
926.8,2.5,13.9,77.0,815.0
925.8,2.5,13.9,77.0,823.0
924.8,2.5,13.8,77.0,832.0
924.0,2.5,13.7,78.0,840.0
923.1,2.5,13.6,79.0,848.0
922.1,2.5,13.6,79.0,857.0
921.0,2.5,13.5,78.0,867.0
920.0,2.5,13.4,78.0,876.0
919.1,2.5,13.3,79.0,885.0
918.2,2.5,13.2,79.0,893.0
917.4,2.5,13.2,79.0,901.0
916.6,2.5,13.1,80.0,908.0
915.7,2.5,13.0,80.0,916.0
914.8,2.5,12.9,80.0,924.0
914.0,2.5,12.9,80.0,931.0
913.3,2.5,12.8,80.0,938.0
912.7,2.5,12.8,80.0,944.0
912.0,2.5,12.7,80.0,950.0
911.2,2.5,12.7,80.0,957.0
910.3,2.5,12.6,80.0,966.0
909.3,2.5,12.5,80.0,975.0
908.4,2.5,12.4,81.0,983.0
907.5,2.5,12.3,81.0,992.0
906.6,2.5,12.3,80.0,1000.0
905.7,2.5,12.2,80.0,1008.0
904.9,2.5,12.2,80.0,1016.0
904.0,2.5,12.2,80.0,1024.0
903.1,2.5,12.1,78.0,1033.0
902.1,2.5,12.0,77.0,1041.0
901.2,2.5,11.9,78.0,1050.0
900.2,2.5,11.8,78.0,1059.0
899.3,2.5,11.8,78.0,1068.0
898.5,2.5,11.8,78.0,1075.0
897.7,2.5,11.7,77.0,1083.0
896.9,2.5,11.7,76.0,1090.0
896.1,2.5,11.6,76.0,1097.0
895.3,2.5,11.5,77.0,1105.0
894.4,2.5,11.5,77.0,1114.0
893.5,2.5,11.5,77.0,1122.0
892.7,2.5,11.4,77.0,1130.0
891.8,2.5,11.3,79.0,1138.0
890.9,2.5,11.2,79.0,1147.0
889.9,2.5,11.1,80.0,1156.0
888.9,2.5,11.0,81.0,1165.0
888.1,2.5,10.9,81.0,1172.0
887.2,2.5,10.9,81.0,1181.0
886.3,2.5,10.9,82.0,1189.0
885.5,2.5,10.8,83.0,1197.0
884.5,2.5,10.7,83.0,1206.0
883.7,2.5,10.6,84.0,1214.0
882.9,2.4,10.6,85.0,1222.0
882.1,2.4,10.5,84.0,1229.0
881.3,2.4,10.4,84.0,1237.0
