#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-12,EIMO,1,Juan Crespo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number
ECC,6A,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,49.0
 
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-02-12,23:35:00
 
#PROFILE
Pressure,O3PartialPressure,Temperature,RelativeHumidity,GPHeight
1015.7,1.3,26.1,63.0,49.0
1014.5,1.3,25.2,60.0,59.0
1013.5,1.3,24.8,61.0,68.0
1012.4,1.3,24.6,62.0,78.0
1011.3,1.3,24.5,63.0,87.0
1010.3,1.3,24.4,63.0,96.0
1009.2,1.3,24.3,64.0,105.0
1008.0,1.3,24.2,64.0,116.0
1006.8,1.3,24.0,65.0,126.0
1005.8,1.3,23.9,66.0,135.0
1004.7,1.3,23.7,66.0,145.0
1003.5,1.3,23.6,66.0,155.0
1002.2,1.3,23.4,66.0,166.0
1001.0,1.3,23.2,67.0,177.0
999.8,1.3,23.1,67.0,188.0
998.6,1.3,23.0,68.0,198.0
997.4,1.3,22.8,68.0,208.0
996.2,1.3,22.6,69.0,219.0
995.0,1.3,22.5,70.0,229.0
993.9,1.3,22.3,71.0,239.0
992.8,1.3,22.2,71.0,249.0
991.8,1.3,22.1,71.0,257.0
990.7,1.3,22.1,72.0,267.0
989.6,1.3,22.0,72.0,276.0
988.8,1.3,21.8,72.0,284.0
988.0,1.3,21.7,73.0,291.0
986.9,1.3,21.6,73.0,300.0
985.7,1.3,21.6,73.0,311.0
984.7,1.3,21.4,74.0,320.0
983.8,1.3,21.3,74.0,327.0
983.0,1.3,21.3,75.0,335.0
982.1,1.3,21.2,75.0,343.0
981.1,1.3,21.0,75.0,352.0
980.2,1.3,21.0,75.0,359.0
979.4,1.3,20.9,75.0,366.0
978.5,1.3,20.8,75.0,375.0
977.6,1.3,20.7,76.0,383.0
976.7,1.3,20.7,76.0,391.0
975.8,1.3,20.8,76.0,398.0
974.8,1.3,20.7,77.0,407.0
973.5,1.3,20.5,77.0,419.0
972.2,1.3,20.4,78.0,431.0
971.2,1.3,20.3,78.0,439.0
970.5,1.3,20.2,78.0,446.0
969.7,1.3,20.1,78.0,453.0
968.6,1.3,20.0,79.0,463.0
967.4,1.3,19.9,79.0,473.0
966.2,1.3,19.8,80.0,484.0
965.4,1.3,19.6,81.0,492.0
964.8,1.3,19.6,81.0,496.0
964.1,1.3,19.5,81.0,503.0
963.1,1.3,19.5,81.0,512.0
962.1,1.3,19.4,81.0,521.0
961.2,1.3,19.4,82.0,529.0
960.2,1.3,19.2,82.0,538.0
959.1,1.3,19.1,82.0,548.0
958.3,1.3,19.0,82.0,555.0
957.6,1.3,19.0,83.0,561.0
956.8,1.3,18.9,84.0,568.0
956.0,1.3,18.8,83.0,576.0
955.1,1.3,18.8,82.0,583.0
954.2,1.3,18.8,80.0,592.0
953.1,1.3,18.8,79.0,601.0
951.9,1.3,18.7,77.0,612.0
950.7,1.3,18.7,76.0,624.0
949.3,1.3,18.7,78.0,636.0
948.2,1.3,18.6,80.0,646.0
947.3,1.3,18.6,80.0,654.0
946.4,1.3,18.5,80.0,663.0
945.4,1.3,18.5,80.0,672.0
944.4,1.3,18.4,82.0,680.0
943.6,1.3,18.3,83.0,688.0
942.7,1.3,18.2,83.0,696.0
941.7,1.3,18.1,82.0,705.0
940.8,1.3,18.0,83.0,714.0
939.9,1.3,18.0,82.0,721.0
939.1,1.3,18.0,74.0,729.0
938.1,1.3,18.0,78.0,738.0
936.9,1.3,17.8,82.0,749.0
935.9,1.3,18.1,76.0,758.0
934.8,1.3,18.5,70.0,768.0
933.9,1.3,18.6,66.0,777.0
933.0,1.3,18.5,64.0,785.0
931.9,1.3,18.4,63.0,795.0
931.0,1.3,18.3,63.0,803.0
930.1,1.3,18.2,63.0,811.0
929.0,1.3,18.1,63.0,821.0
927.8,1.3,18.0,62.0,833.0
926.5,1.3,18.0,61.0,845.0
925.2,1.3,17.9,62.0,857.0
924.0,1.3,17.8,65.0,868.0
923.0,1.3,17.8,64.0,877.0
921.9,1.3,17.8,62.0,887.0
920.9,1.3,17.9,61.0,896.0
919.9,1.3,17.8,61.0,906.0
918.9,1.4,17.8,60.0,915.0
918.0,1.4,17.8,60.0,924.0
916.9,1.4,17.6,60.0,934.0
915.8,1.4,17.5,61.0,944.0
914.9,1.4,17.4,62.0,953.0
914.1,1.4,17.3,62.0,960.0
913.3,1.4,17.3,63.0,968.0
912.5,1.4,17.3,64.0,975.0
911.5,1.4,17.2,65.0,984.0
910.5,1.4,17.1,65.0,994.0
909.6,1.4,17.0,65.0,1002.0
908.7,1.4,17.0,64.0,1010.0
907.8,1.4,16.9,63.0,1019.0
907.0,1.5,16.9,62.0,1027.0
906.1,1.5,16.9,60.0,1035.0
905.0,1.5,16.9,59.0,1045.0
903.9,1.5,16.9,60.0,1056.0
902.8,1.5,16.8,61.0,1066.0
901.9,1.5,16.5,62.0,1074.0
901.0,1.5,16.4,63.0,1083.0
900.0,1.5,16.4,63.0,1093.0
899.1,1.5,16.3,63.0,1101.0
898.2,1.5,16.3,63.0,1110.0
897.3,1.5,16.4,60.0,1118.0
896.3,1.5,16.4,59.0,1128.0
895.2,1.5,16.3,61.0,1138.0
894.1,1.5,16.2,63.0,1149.0
892.9,1.5,16.0,64.0,1160.0
891.7,1.5,15.9,64.0,1171.0
890.6,1.5,15.9,63.0,1182.0
889.5,1.5,15.9,62.0,1192.0
888.5,1.5,15.9,62.0,1202.0
887.5,1.5,15.8,62.0,1211.0
886.5,1.5,15.7,63.0,1221.0
885.5,1.6,15.6,65.0,1231.0
884.5,1.6,15.6,65.0,1240.0
883.6,1.6,15.5,65.0,1249.0
882.6,1.6,15.4,66.0,1259.0
881.6,1.6,15.4,68.0,1269.0
880.7,1.6,15.2,69.0,1277.0
879.9,1.6,15.1,69.0,1284.0
879.2,1.6,15.1,70.0,1291.0
878.2,1.6,15.0,70.0,1301.0
877.2,1.6,14.9,70.0,1311.0
876.2,1.6,14.8,70.0,1320.0
875.3,1.6,14.8,70.0,1329.0
874.4,1.6,14.7,71.0,1338.0
873.5,1.6,14.6,72.0,1346.0
872.7,1.6,14.5,73.0,1354.0
871.8,1.6,14.5,74.0,1363.0
