#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2018-08-11,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2018-08-11,23:46:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1016.7,5.2,17.9,61,170,4,49.9
1016.6,5.4,17.7,61.9,165.5,1.9,51.9
1016,5.4,17.6,61.9,166.4,1.9,56.4
1015.2,5.5,17.4,61.9,168.1,2,61.9
1014.5,5.5,17.3,61.7,169.8,2.2,67
1014.2,5.5,17.3,61.7,171.1,2.4,71
1013.9,5.5,17.2,61.7,172.3,2.5,74.1
1013.5,5.5,17.2,61.5,173.4,2.6,76.8
1013.2,5.5,17.2,61.5,174.3,2.7,79.1
1013,5.5,17.1,61.6,175.2,2.9,81.4
1012.8,5.5,17.1,61.5,175.9,3,84.2
1012.3,5.6,17.1,61.4,176.6,3.1,87.8
1011.5,5.7,17.1,61.4,177.1,3.2,91.9
1011.1,5.8,17,61.4,177.7,3.3,95.3
1011.1,5.8,17,61.3,178.1,3.4,98.3
1010.7,5.8,17,61.2,178.5,3.5,102.1
1010,5.8,17,61.3,178.8,3.6,107.3
1009.1,5.8,16.9,61.6,179,3.7,112.9
1008.4,5.8,16.9,61.8,179.2,3.8,117.7
1008.3,5.8,16.8,62.1,179.3,3.9,121.5
1008,5.8,16.8,62.2,179.3,4,125
1007.5,5.8,16.8,62.4,179.3,4,128.7
1006.7,5.8,16.7,62.6,179.2,4.1,131.9
1006.6,5.8,16.7,62.8,179.1,4.2,133.4
1006.1,5.7,16.6,63.4,178.6,4.3,138.7
1005.6,5.7,16.6,63.5,178.3,4.3,142
1005.5,5.7,16.6,63.5,178,4.3,144.4
1005.4,5.7,16.5,63.5,177.7,4.3,145.8
1005.3,5.7,16.5,63.6,177.5,4.4,146.9
1005,5.7,16.5,63.7,177.1,4.4,148.3
1004.8,5.7,16.5,63.7,176.8,4.4,150.4
1004.6,5.7,16.4,63.6,176.5,4.4,153
1004.1,5.7,16.4,63.5,176.2,4.3,156.2
1003.4,5.7,16.4,63.5,175.9,4.3,160.5
1003.1,5.7,16.3,63.7,175.6,4.3,165.8
1002.7,5.7,16.3,63.8,175.4,4.3,172.5
1001.3,5.7,16.3,63.7,175.1,4.3,180.2
999.6,5.7,16.2,63.6,174.9,4.3,185.4
998.8,5.7,16.1,64.6,173.3,4.3,198.9
998.3,5.7,16,64.9,173.1,4.3,204.3
998,5.7,16,65.1,172.8,4.3,208.2
997.7,5.7,15.9,65.1,172.5,4.3,211.6
997.3,5.7,15.9,65.1,172.2,4.3,215.2
996.7,5.7,15.8,65.1,171.8,4.4,219.1
996.1,5.7,15.8,65.3,171.3,4.4,223
995.9,5.7,15.7,65.5,170.8,4.5,226.6
995.5,5.7,15.7,65.7,170.3,4.5,230.7
994.7,5.7,15.6,65.7,169.7,4.6,235.4
994.1,5.7,15.6,65.8,169.1,4.7,240.2
993.7,5.6,15.6,66.1,168.4,4.7,244.6
993.2,5.6,15.5,66.4,167.7,4.8,248.9
992.7,5.6,15.5,66.6,167,4.9,253.5
992.1,5.6,15.4,66.8,166.3,5,258.9
991.3,5.6,15.4,67.1,165.6,5,264.9
990.6,5.6,15.3,67.3,164.9,5.1,270.5
990.1,5.6,15.3,67.4,164.2,5.2,275
989.8,5.6,15.2,67.4,163.6,5.3,278.3
989.5,5.6,15.2,67.6,162.9,5.3,281
989.2,5.6,15.2,67.8,162.3,5.4,284
988.8,5.6,15.1,68.1,161.7,5.4,288
988,5.6,15.1,68.3,161.1,5.5,293.1
987.4,5.6,15,68.4,160.6,5.5,298.3
986.9,5.6,15,68.6,160.1,5.6,303.1
986.4,5.6,15,68.8,159.7,5.6,307.8
985.8,5.6,14.9,69.1,159.3,5.6,312.6
985.2,5.6,14.9,69.2,159,5.6,317.3
984.7,5.7,14.8,69.2,158.7,5.6,322.2
984.1,5.7,14.8,69.3,158.5,5.7,327.2
983.5,5.7,14.7,69.6,158.4,5.6,332.3
982.9,5.6,14.7,69.8,158.3,5.6,337.4
982.2,5.6,14.6,69.9,158.2,5.6,342.5
981.8,5.6,14.5,70,158.2,5.6,347.8
981.1,5.6,14.5,70,158.3,5.6,353.7
980.2,5.6,14.4,70.2,158.4,5.6,360.2
979.4,5.6,14.4,70.4,158.6,5.5,366.7
978.8,5.6,14.3,70.6,158.9,5.5,372.8
978.2,5.6,14.3,70.6,159.3,5.5,378.5
977.5,5.6,14.2,70.8,159.7,5.4,383.6
977,5.6,14.2,71.2,160.1,5.4,387.9
976.6,5.6,14.1,71.6,160.6,5.4,391.2
976.4,5.6,14.1,71.6,161.1,5.4,393.8
976.1,5.6,14.1,71.6,161.7,5.4,396.7
975.7,5.6,14,71.7,162.2,5.4,400.9
975,5.6,14,72,162.8,5.4,406.4
974.1,5.6,13.9,72.4,163.4,5.4,412.7
973.4,5.6,13.9,72.5,164,5.4,418.4
973,5.6,13.8,72.5,164.5,5.4,423.1
972.6,5.6,13.8,72.6,165.1,5.4,427.4
971.9,5.6,13.7,72.8,165.6,5.5,431.7
971.4,5.6,13.7,73.2,166.1,5.5,436.1
971.1,5.6,13.6,73.5,166.6,5.5,440.3
970.5,5.6,13.6,73.8,167,5.6,444.7
969.9,5.6,13.6,73.9,167.3,5.6,449.1
969.5,5.6,13.5,74,167.6,5.6,453.5
969.1,5.6,13.5,74.2,167.8,5.7,458.2
968.4,5.6,13.4,74.5,168,5.7,463.7
967.5,5.6,13.4,74.7,168.1,5.7,470
966.8,5.6,13.3,74.8,168.2,5.8,476
966.3,5.6,13.3,74.9,168.2,5.8,481.5
965.8,5.6,13.2,74.8,168.1,5.8,486.6
965.1,5.6,13.2,74.7,168,5.9,491.6
964.5,5.6,13.1,74.7,167.9,5.9,496
964.2,5.6,13.1,74.8,167.6,5.9,499.8
963.9,5.6,13,75.1,167.4,5.9,503.9
963.2,5.6,13,75.6,167,5.9,509
962.4,5.6,12.9,76.1,166.6,5.9,514.8
961.7,5.6,12.9,76.4,166.1,5.9,520.9
961.1,5.6,12.8,76.7,165.6,5.9,526.9
960.4,5.6,12.8,77.1,165,5.9,533
959.7,5.6,12.7,77.7,164.3,5.9,539.3
958.9,5.6,12.7,78.1,163.6,5.9,545.4
958.3,5.6,12.6,78.4,162.9,5.9,551
957.7,5.6,12.5,78.2,162.1,5.9,556.2
957.2,5.6,12.5,77.9,161.3,5.9,561
956.6,5.6,12.4,77.8,160.5,5.9,565.8
956.1,5.6,12.4,77.9,159.7,5.9,570.6
955.5,5.6,12.3,78.1,158.8,5.9,575.4
955,5.6,12.3,78.4,158,5.9,580.4
954.4,5.6,12.2,78.7,157.3,5.9,585.6
953.8,5.6,12.2,79,156.6,5.9,591
953.1,5.6,12.1,79.1,156,5.9,596.4
952.5,5.6,12.1,79.2,155.5,5.9,601.5
952.1,5.6,12,79.2,155.1,5.9,606.2
951.6,5.6,12,79.4,154.8,5.9,610.8
951,5.6,11.9,79.7,154.5,6,615.6
950.4,5.6,11.9,80.2,154.4,6,620.3
949.9,5.6,11.9,80.7,154.4,6,624.7
949.4,5.6,11.8,80.9,154.6,6,628.9
949,5.6,11.8,81,154.8,6,633
948.6,5.6,11.8,81.2,155.2,6,637.1
948.1,5.6,11.7,81.3,155.7,6,641.6
947.5,5.6,11.7,81.3,156.4,6,646.4
946.9,5.6,11.6,81.3,157.1,6.1,651.3
946.4,5.6,11.6,81.3,158,6.1,656
945.9,5.6,11.5,81.3,158.9,6.1,660.5
945.4,5.6,11.5,81.6,159.9,6.1,664.9
944.9,5.6,11.4,82.1,160.9,6.1,669.5
944.4,5.6,11.4,82.6,161.9,6.2,674.7
943.6,5.6,11.3,82.9,163,6.2,680.6
942.9,5.6,11.3,83.2,164,6.3,686.5
942.3,5.6,11.2,83.3,165,6.3,692.1
941.8,5.6,11.2,83.5,166,6.3,697.1
941.3,5.6,11.1,83.9,166.9,6.4,701.8
940.7,5.6,11.1,84.1,167.7,6.5,706.3
940.2,5.6,11,84.2,168.5,6.5,710.7
939.7,5.6,11,84.4,169.1,6.6,714.8
939.3,5.6,10.9,84.6,169.6,6.6,718.7
938.9,5.6,10.9,84.8,170.1,6.7,723
938.3,5.6,10.8,85.1,170.4,6.8,728
937.6,5.6,10.8,85.4,170.6,6.8,733.7
937,5.6,10.8,85.4,170.6,6.9,739.3
936.4,5.6,10.7,85.5,170.6,6.9,744.8
935.8,5.6,10.6,85.5,170.6,7,750.2
935.2,5.6,10.6,85.6,170.4,7,755.4
934.7,5.6,10.6,85.9,170.2,7,760.2
934.1,5.5,10.5,86.2,170,7.1,764.6
933.7,5.5,10.5,86.3,169.7,7.1,768.5
933.4,5.5,10.4,86.6,169.4,7.1,772.1
933,5.6,10.4,87,169.1,7.1,775.8
932.5,5.6,10.4,87.2,168.9,7.1,779.8
931.9,5.6,10.3,87.2,168.6,7.1,784.2
931.5,5.5,10.3,87.4,168.4,7.1,788.7
931.1,5.5,10.2,87.4,168.2,7.1,792.9
930.5,5.5,10.2,87.2,168.1,7.1,796.7
930.1,5.6,10.1,87,168.1,7.1,800.1
929.9,5.6,10.1,87.3,168.1,7,803.2
929.6,5.6,10.1,87.7,168.2,7,806.5
929.1,5.6,10.1,87.9,168.4,7,810.5
928.5,5.6,10,87.4,168.8,6.9,815
927.9,5.6,10,85.9,169.2,6.9,819.7
927.5,5.6,10,84.9,169.7,6.9,824.3
927,5.6,10,84.8,170.2,6.9,829.2
926.3,5.6,9.9,84.7,170.9,6.9,834.5
925.8,5.6,9.9,84.3,171.7,6.8,840.1
925.2,5.6,9.8,84.3,172.5,6.8,846.1
924.4,5.6,9.8,84.2,173.3,6.8,852.3
923.6,5.6,9.7,84.3,174.2,6.8,858.2
923.1,5.6,9.7,84.5,175.1,6.9,863.6
922.7,5.6,9.6,84,176,6.9,868.5
922.1,5.6,9.6,83.2,177,6.9,873.2
921.5,5.6,9.6,82.8,177.9,6.9,877.7
921.1,5.6,9.5,83,178.7,7,881.8
920.7,5.6,9.5,83.3,179.6,7,885.7
920.3,5.6,9.5,82.9,180.3,7.1,889.5
919.9,5.6,9.5,82.8,181.1,7.1,893.3
919.4,5.6,9.4,82.9,181.8,7.2,897.2
918.9,5.6,9.4,83.1,182.5,7.2,901.1
918.6,5.6,9.4,83.9,183.1,7.2,904.8
918.2,5.6,9.3,85.5,183.6,7.3,908.5
917.7,5.6,9.2,87.4,184.1,7.3,912.4
917.3,5.6,9.1,87.9,184.6,7.3,916.4
916.9,5.6,9.1,86.6,185.1,7.3,920.5
916.4,5.6,9.1,85.8,185.5,7.3,924.8
915.9,5.6,9.1,85.8,185.8,7.3,929
915.4,5.6,9.1,85.6,186.2,7.3,933.1
915,5.6,9,85.4,186.5,7.3,936.9
914.6,5.6,9,85.3,186.8,7.2,940.7
914.2,5.6,9,85.1,187.1,7.2,944.7
913.7,5.6,9,84.8,187.4,7.1,949.1
913.1,5.6,8.9,84.6,187.6,7.1,953.9
912.6,5.6,8.9,84.3,187.9,7,958.9
912,5.6,8.9,84.1,188.2,6.9,963.9
911.5,5.6,8.8,84,188.4,6.8,968.6
911,5.5,8.8,83.9,188.7,6.7,972.9
910.7,5.5,8.8,83.8,189,6.6,976.7
910.3,5.5,8.7,84,189.3,6.5,980.4
909.8,5.5,8.7,84.6,189.6,6.4,984.1
909.4,5.5,8.7,85.2,189.9,6.4,987.7
909,5.5,8.6,85.3,190.2,6.3,991.2
908.7,5.5,8.6,84.8,190.5,6.2,994.7
908.3,5.5,8.6,82.9,190.9,6.1,998.4
907.8,5.5,8.7,79.2,191.2,6,1002.5
907.3,5.5,8.8,77.3,191.6,5.9,1006.6
906.9,5.5,8.8,77.6,191.9,5.8,1010.6
906.5,5.5,8.8,78,192.3,5.8,1014.4
906.1,5.6,8.8,78.2,192.7,5.7,1018
905.7,5.6,8.7,78.1,193.1,5.6,1021.8
905.3,5.6,8.7,77.6,193.6,5.6,1025.8
904.8,5.6,8.7,77.1,194.1,5.5,1030.2
904.2,5.5,8.7,77.2,194.6,5.5,1034.7
903.8,5.5,8.7,77.7,195.1,5.5,1039.3
903.3,5.5,8.6,78.2,195.7,5.4,1043.7
902.8,5.5,8.5,78,196.3,5.4,1048.3
902.3,5.5,8.5,77.8,196.9,5.4,1053
901.8,5.5,8.4,77.8,197.5,5.4,1057.6
901.3,5.5,8.4,77.7,198.1,5.4,1062.2
900.8,5.5,8.4,77.2,198.8,5.3,1066.8
900.3,5.5,8.4,76.8,199.4,5.3,1071.2
899.8,5.5,8.4,76.9,200,5.3,1075.6
899.4,5.5,8.3,76.7,200.6,5.4,1080.1
898.8,5.5,8.3,76.5,201.2,5.4,1084.5
898.4,5.5,8.3,76.6,201.8,5.4,1088.7
898,5.5,8.2,77,202.4,5.4,1092.7
897.6,5.5,8.2,77.4,202.9,5.4,1096.5
897.1,5.5,8.2,77.7,203.4,5.4,1100.1
896.8,5.5,8.1,77.8,203.9,5.5,1103.8
896.4,5.5,8.1,77.9,204.3,5.5,1107.6
895.9,5.5,8.1,78.3,204.7,5.5,1111.9
895.4,5.5,8,78.7,205.1,5.5,1116.6
894.9,5.5,8,78.6,205.4,5.6,1121.2
894.4,5.5,7.9,78.1,205.6,5.6,1125.3
894,5.5,7.9,77.5,205.9,5.6,1128.9
893.7,5.5,7.9,77,206.1,5.7,1132
893.4,5.6,7.9,76.5,206.2,5.7,1135.1
893,5.6,7.9,76.3,206.4,5.7,1138.3
892.7,5.6,7.9,76.4,206.5,5.7,1141.5
892.3,5.5,7.9,76.9,206.6,5.8,1145
891.9,5.5,7.8,78,206.7,5.8,1148.8
891.4,5.5,7.8,79.5,206.8,5.8,1152.9
890.9,5.6,7.6,80.3,206.9,5.8,1157.1
890.5,5.6,7.6,80.2,207,5.9,1161.1
890.2,5.6,7.6,80.7,207.1,5.9,1164.8
889.8,5.6,7.5,81.1,207.2,5.9,1168.7
889.3,5.6,7.4,80.3,207.2,5.9,1173
888.8,5.5,7.5,78.8,207.3,5.9,1177.7
888.2,5.5,7.5,78,207.4,6,1182.4
887.8,5.5,7.4,78.2,207.5,6,1186.3
887.5,5.5,7.4,78.6,207.6,6,1189.5
887.2,5.5,7.3,79,207.7,6,1192
887,5.5,7.3,79.3,207.8,6,1194.5
886.7,5.5,7.3,79.7,207.9,6,1197.5
886.2,5.5,7.2,79.9,208,6,1201.1
885.9,5.5,7.2,80.1,208.1,6,1205
885.4,5.5,7.1,80.2,208.2,6,1208.9
885,5.5,7.1,80.5,208.3,6,1212.5
884.7,5.5,7.1,81.8,208.3,6,1215.6
884.4,5.6,7,83.9,208.3,6,1218.3
884.1,5.6,7,85.5,208.3,6,1220.8
883.9,5.6,6.9,85.9,208.3,6,1223.6
883.5,5.6,6.9,85.3,208.2,5.9,1227
883,5.6,6.9,84.6,208,5.9,1230.7
882.6,5.6,6.9,84.7,207.8,5.9,1234.5
882.3,5.6,6.8,85.6,207.6,5.9,1238.3
881.8,5.6,6.7,86.4,207.3,5.8,1242.4
881.3,5.6,6.7,86.4,206.9,5.8,1246.6
880.9,5.6,6.7,86.2,206.5,5.8,1250.8
880.5,5.6,6.6,86,206,5.7,1255
880,5.6,6.6,85.7,205.5,5.7,1259.5
879.5,5.6,6.5,85.5,205,5.7,1264.3
878.9,5.6,6.5,85.6,204.4,5.6,1269.3
878.4,5.6,6.5,86,203.8,5.6,1274.4
877.8,5.6,6.5,86,203.3,5.6,1279.6
877.3,5.6,6.5,84.9,202.7,5.6,1285.2
876.6,5.6,6.5,83.9,202.2,5.5,1291.1
875.9,5.6,6.4,83.4,201.8,5.5,1296.8
875.4,5.5,6.4,82.7,201.5,5.5,1301.8
875,5.5,6.5,82.7,201.3,5.5,1306.3
874.6,5.6,6.4,83.8,201.1,5.5,1310.8
874,5.6,6.3,85.3,201.1,5.5,1315.8
873.4,5.6,6.2,87,201.3,5.5,1321.2
872.8,5.6,6.1,88.9,201.6,5.5,1326.8
872.2,5.6,6,88.9,202.1,5.5,1332.2
871.6,5.6,6,88.4,202.8,5.5,1337.4
871.1,5.6,6,88.6,203.6,5.5,1342.5
870.6,5.6,5.9,87.4,204.6,5.5,1347.7
870,5.5,5.9,84.9,205.7,5.5,1353.1
869.4,5.5,5.9,83.1,207.1,5.5,1358.5
868.8,5.5,5.9,81.3,208.5,5.5,1363.2
868.5,5.5,6,79.9,210.1,5.5,1367.4
868.1,5.5,6.1,80.2,211.7,5.5,1371.8
867.5,5.5,6,82.1,213.4,5.5,1376.7
867,5.5,5.9,83.4,215.2,5.5,1382.2
866.3,5.5,5.8,83.1,217,5.5,1388.2
865.6,5.5,5.8,82.4,218.8,5.5,1394.3
865,5.5,5.8,82,220.5,5.5,1400.1
864.4,5.5,5.7,81.4,222.2,5.5,1405
864.1,5.5,5.7,81.4,223.8,5.5,1408.9
863.8,5.5,5.7,82,225.3,5.5,1412.1
863.5,5.5,5.6,82.4,226.7,5.4,1415
863.1,5.5,5.6,81.6,228,5.4,1418.1
862.8,5.5,5.6,80.2,229.1,5.4,1421.2
862.5,5.5,5.6,78.3,230.1,5.4,1424.3
862.1,5.5,5.7,75.5,230.9,5.3,1427.4
861.8,5.5,5.8,71,231.5,5.3,1430.5
861.5,5.5,6,67.5,231.9,5.2,1433.8
861.1,5.5,6.1,66.9,232.1,5.2,1437.5
860.7,5.5,6.1,67.2,232.2,5.1,1441.6
860.2,5.5,6.1,67.3,232.1,5,1445.9
859.7,5.5,6.1,67.2,231.8,5,1450.3
859.3,5.5,6,67.2,231.4,5,1454.2
859,5.5,6,67.2,230.9,4.9,1457.9
858.6,5.5,6,67.2,230.4,4.9,1461.6
858.2,5.5,5.9,67.2,229.8,4.9,1465.6
857.7,5.5,5.9,67.1,229.2,4.9,1469.7
857.3,5.5,5.9,67.1,228.6,4.9,1473.4
857,5.5,5.9,67.2,228.1,4.9,1476.6
856.7,5.5,5.9,67.3,227.7,4.9,1479.5
856.4,5.5,5.8,67.4,227.4,4.9,1482.4
856.1,5.5,5.8,67.8,227.2,5,1485.6
855.7,5.5,5.8,68.2,227.1,5,1489
855.3,5.5,5.8,68.6,227.2,5.1,1492.7
854.9,5.5,5.8,69,227.4,5.2,1496.4
854.5,5.5,5.7,69.4,227.7,5.2,1500.1
854.1,5.5,5.7,69.6,228.2,5.3,1503.8
853.8,5.5,5.7,69.9,228.6,5.4,1507.5
853.4,5.5,5.6,70.7,229.2,5.5,1511.3
852.9,5.5,5.6,71.4,229.8,5.5,1515.3
852.5,5.5,5.5,71.4,230.3,5.6,1519.2
852.1,5.5,5.5,70.9,230.9,5.7,1522.8
851.8,5.5,5.5,70.3,231.4,5.7,1525.8
851.6,5.5,5.4,70.1,231.9,5.8,1528.4
851.4,5.5,5.4,70.1,232.3,5.8,1530.7
851.1,5.5,5.4,70.4,232.6,5.9,1533.2
850.8,5.5,5.4,71,232.8,5.9,1536.1
850.4,5.5,5.3,71.6,232.9,5.9,1539.3
850.1,5.5,5.3,71.8,232.9,5.9,1542.6
849.7,5.5,5.3,72.1,232.7,5.9,1546
849.4,5.5,5.3,73.3,232.4,5.9,1549.4
849,5.5,5.2,75,232,5.8,1553
848.6,5.5,5.2,76.2,231.4,5.8,1556.8
848.2,5.5,5.1,76.7,230.7,5.7,1560.8
847.8,5.5,5.1,77,230,5.7,1565.1
847.3,5.5,5.1,77.1,229.1,5.6,1569.9
846.8,5.5,5,77.4,228.1,5.5,1575.2
846.1,5.5,5,77.6,227,5.5,1581
845.4,5.5,4.9,77.6,225.9,5.4,1586.9
844.9,5.5,4.9,77.6,224.8,5.3,1592.4
844.5,5.5,4.8,77.7,223.6,5.3,1597.5
843.9,5.5,4.8,77.7,222.5,5.2,1602.1
843.5,5.5,4.7,77.7,221.5,5.2,1606.1
843.2,5.5,4.7,77.5,220.5,5.1,1609.3
842.9,5.5,4.7,77.7,219.7,5.1,1612
842.7,5.5,4.6,78.1,219,5.1,1614.9
842.3,5.5,4.6,78.5,218.4,5.1,1618.2
841.9,5.5,4.6,78.6,218,5.1,1621.9
841.5,5.5,4.5,78.7,217.8,5.1,1625.7
841.1,5.5,4.5,78.8,217.7,5.1,1629.6
840.7,5.5,4.5,79.2,217.8,5.1,1633.6
840.3,5.5,4.4,79.9,218.1,5.1,1637.7
839.8,5.5,4.4,80.5,218.4,5.2,1641.8
839.4,5.5,4.3,80.8,218.9,5.2,1645.6
839.1,5.5,4.3,80.9,219.5,5.3,1649.1
838.8,5.5,4.3,80.8,220.2,5.4,1652
838.5,5.5,4.2,80.8,220.9,5.5,1654.6
838.2,5.5,4.2,81,221.6,5.7,1657.2
838,5.5,4.2,81.2,222.4,5.8,1659.9
837.7,5.5,4.2,81.2,223.1,6,1663.1
837.3,5.5,4.1,81.2,223.8,6.1,1667.1
836.8,5.5,4.1,81.7,224.4,6.3,1671.8
