
#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-04-27,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-04-27,00:19:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1015.1,1,23.6,85,110,5,49.9
1014.8,1,22.9,82.8,113.1,3.7,53.2
1014.3,1,22.9,82.5,114.8,3.3,57.7
1013.6,1,23,82.2,115.2,3.3,62.3
1013.1,1,23,81.6,114.9,3.5,66.6
1012.7,1,23,80.9,114.4,3.8,70.1
1012.4,1,23,80.4,113.9,4,73.4
1012,1.1,23,80.1,113.4,4.2,77
1011.5,1.1,23,80.1,113,4.4,81
1011,1.1,23,80.2,112.5,4.5,85.6
1010.3,1.1,22.9,80.3,112,4.7,90.7
1009.8,1.1,22.9,80.4,111.5,4.8,95.9
1009.2,1.1,22.8,80.6,110.9,5,101.1
1008.6,1.1,22.8,80.8,110.3,5.1,106.1
1008,1.1,22.8,81.1,109.7,5.2,111.1
1007.5,1.1,22.7,81.3,109.1,5.3,116.1
1006.9,1.1,22.7,81.5,108.5,5.4,121.3
1006.2,1.1,22.6,81.6,107.8,5.5,126.6
1005.6,1.1,22.6,81.9,107.2,5.5,131.6
1005.2,1.1,22.5,82.3,106.5,5.6,136
1004.7,1.1,22.5,82.5,105.9,5.7,140.2
1004.2,1.1,22.5,82.5,105.2,5.7,143.9
1003.9,1.1,22.4,82.6,104.6,5.8,147
1003.6,1.1,22.4,82.9,103.9,5.8,149.7
1003.3,1.2,22.4,83,103.4,5.8,152.1
1003.1,1.2,22.3,83.1,102.8,5.9,154.7
1002.7,1.2,22.3,83.3,102.3,5.9,157.7
1002.3,1.2,22.3,83.5,101.9,5.9,161.2
1001.8,1.2,22.2,83.8,101.6,5.9,164.9
1001.4,1.2,22.2,84.2,101.3,5.9,168.7
1001.1,1.2,22.1,84.5,101,6,172.7
1000.3,1.2,22.1,84.5,100.8,6,177.1
999.9,1.2,22.1,84.5,100.7,6,181.2
999.6,1.2,22,84.5,100.6,6,184.9
999.2,1.1,22,84.5,100.5,6.1,188.6
998.7,1.1,22,84.7,100.5,6.1,192.6
998.2,1.1,21.9,85.1,100.5,6.1,196.7
997.6,1.1,21.9,85.5,100.6,6.1,200.7
997.3,1.1,21.8,85.7,100.7,6.1,204.5
997,1.1,21.8,85.8,100.7,6.1,208.4
996.4,1.2,21.8,86,100.8,6.2,212.5
995.8,1.2,21.7,86.3,100.9,6.2,216.5
995.5,1.2,21.7,86.3,101,6.2,219.9
995.2,1.2,21.6,86.2,101.1,6.2,222.8
994.9,1.2,21.6,85.9,101.2,6.2,226.1
994.3,1.2,21.6,85.8,101.2,6.2,230.1
993.7,1.2,21.5,85.8,101.3,6.3,234.8
993.4,1.2,21.5,86,101.3,6.3,239.9
992.7,1.2,21.5,86.4,101.3,6.3,245.7
991.7,1.2,21.4,86.7,101.3,6.3,251.6
991.1,1.2,21.4,86.7,101.3,6.3,256.1
991.1,1.2,21.3,86.9,101.4,6.3,258.9
991,1.2,21.3,87.2,101.5,6.3,261.1
990.5,1.2,21.2,87.5,101.6,6.3,264.1
990,1.2,21.2,87.8,101.7,6.2,267.8
989.6,1.2,21.2,88.1,101.9,6.2,271.7
989.2,1.2,21.1,88.4,102.1,6.2,275.7
988.7,1.2,21.1,88.4,102.4,6.2,280.2
988.1,1.2,21,88.6,102.7,6.1,285.3
987.5,1.2,21,89,103.2,6.1,290.9
986.7,1.2,20.9,89.3,103.7,6.1,296.4
986.2,1.2,20.9,89.3,104.3,6,301.4
985.7,1.2,20.8,89.3,105,6,306
985.3,1.2,20.8,89.3,105.8,5.9,310.4
984.7,1.2,20.8,89.4,106.6,5.9,314.7
984.2,1.2,20.7,89.8,107.5,5.8,319
983.7,1.2,20.7,90,108.5,5.7,322.9
