#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-05-17,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-05-17,0:00:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
1012.1,2.2,22.3,69,360,3,49.9
1010.9,2.2,22.1,66.3,352.7,2.8,58
1010.7,2.3,22,66.5,350.4,2.9,62.3
1010.3,2.3,21.9,66.7,350,3,65.7
1009.9,2.3,21.9,66.7,350.4,3.2,68.7
1009.6,2.3,21.9,66.5,351,3.3,71.8
1009.1,2.4,21.8,66.5,351.6,3.5,75.7
1008.6,2.4,21.8,66.7,352.2,3.6,80.7
1007.9,2.4,21.7,66.8,352.8,3.7,86.8
1007,2.4,21.7,66.7,353.4,3.9,93.7
1006.2,2.4,21.7,66.5,354.1,4,100.4
1005.4,2.4,21.6,66.4,354.9,4.1,106.2
1005.1,2.4,21.6,66.5,355.7,4.2,111
1004.6,2.4,21.5,66.9,356.7,4.3,115.3
1004,2.4,21.5,67.3,357.7,4.3,119.3
1003.6,2.5,21.4,67.4,358.8,4.4,123
1003.2,2.5,21.4,67.4,359.9,4.5,126.7
1002.8,2.5,21.3,67.1,1.2,4.6,130.5
1002.3,2.5,21.3,66.9,2.5,4.6,134.9
1001.7,2.5,21.3,67.1,3.8,4.7,140
1001.1,2.5,21.3,67.5,5.2,4.8,145.3
1000.3,2.5,21.2,67.9,6.7,4.8,150.1
1000,2.5,21.2,68.2,8.1,4.9,153.5
999.9,2.5,21.1,68.4,9.6,5,156.2
999.5,2.5,21.1,68.6,11.1,5,159.2
999,2.5,21,68.6,12.5,5.1,162.8
998.6,2.5,21,68.7,13.9,5.2,166.7
998.1,2.5,21,68.9,15.2,5.3,170.5
997.7,2.5,20.9,69,16.5,5.3,173.9
997.4,2.6,20.9,69,17.8,5.4,177
997,2.6,20.9,69.2,19,5.5,180.3
996.7,2.6,20.8,69.4,20.1,5.6,184.4
995.9,2.6,20.8,69.5,21.1,5.6,190.2
994.9,2.6,20.7,69.6,22.1,5.7,197.4
994.3,2.6,20.7,69.9,22.9,5.7,205.2
993.5,2.6,20.6,69.9,23.6,5.8,213.3
992.1,2.6,20.6,69.8,24.2,5.8,220.6
990.7,2.6,20.6,69.9,24.6,5.8,224.3
990.5,2.6,20.4,70.6,27.3,5.9,236.7
990.2,2.6,20.4,70.9,27.5,5.9,240.2
989.7,2.6,20.3,71.2,27.7,5.9,244
989.2,2.6,20.3,71.6,27.8,5.9,248.3
988.7,2.6,20.2,72.1,27.9,5.9,253.5
988,2.6,20.1,72.3,28,5.9,259.3
987.2,2.6,20.1,72.2,28,5.8,265.4
986.4,2.6,20,72.1,28,5.8,271.3
986,2.6,19.9,72.1,27.9,5.7,276.6
985.6,2.6,19.9,72.1,27.8,5.7,281.8
984.7,2.6,19.8,72,27.7,5.6,287.7
984,2.6,19.8,71.8,27.5,5.6,293.7
983.3,2.6,19.8,71.8,27.3,5.5,299.3
982.8,2.6,19.7,72.1,27.1,5.5,304.1
982.4,2.6,19.7,72.4,26.8,5.4,308.4
981.9,2.6,19.6,72.5,26.5,5.4,312.9
981.3,2.6,19.6,72.9,26.2,5.3,318
980.6,2.6,19.5,73.3,25.9,5.3,323.8
979.9,2.6,19.5,73.6,25.6,5.2,330.2
